Coach,School,Conference,Unnamed: 3,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,Unnamed: 10,Since,W.1,L.1,W-L%.1,NCAA,S16,FF,Chmp,Unnamed: 19,W.2,L.2,W-L%.2,NCAA.1,S16.1,FF.1,Chmp.1
Bryce Drew,Vanderbilt,SEC,,19,16,0.543,,,Lost First Round,,2016-17,19,16,0.543,1.0,,,,,143,65,0.688,3.0,,,
Scott Drew,Baylor,Big 12,,27,8,0.771,,12.0,Lost Regional Semifinal,,2003-04,279,180,0.608,7.0,4.0,,,,299,191,0.61,7.0,4.0,,
Matthew Driscoll,North Florida,A-Sun,,15,19,0.441,,,,,2009-10,133,131,0.504,1.0,,,,,133,131,0.504,1.0,,,
Mike Dunlap,Loyola Marymount,WCC,,15,15,0.5,,,,,2014-15,37,55,0.402,,,,,,37,55,0.402,,,,
Mike Dunleavy Sr,Tulane,AAC,,6,25,0.194,,,,,2016-17,6,25,0.194,,,,,,6,25,0.194,,,,
John Dunne,Saint Peter's,MAAC,,23,13,0.639,,,,,2006-07,139,207,0.402,1.0,,,,,139,207,0.402,1.0,,,
Fran Dunphy,Temple,AAC,,16,16,0.5,,,,,2006-07,230,136,0.628,7.0,,,,,540,299,0.644,16.0,,,
Pat Duquette,Massachusetts-Lowell,AEC,,11,20,0.355,,,,,2013-14,44,73,0.376,,,,,,44,73,0.376,,,,
Tim Duryea,Utah State,MWC,,14,17,0.452,,,,,2015-16,30,32,0.484,,,,,,30,32,0.484,,,,
Brian Earl,Cornell,Ivy,,8,21,0.276,,,,,2016-17,8,21,0.276,,,,,,8,21,0.276,,,,
Dan Earl,VMI,Southern,,6,24,0.2,,,,,2015-16,15,45,0.25,,,,,,15,45,0.25,,,,
Allen Edwards,Wyoming,MWC,,23,15,0.605,,,,,2016-17,23,15,0.605,,,,,,23,15,0.605,,,,
Rob Ehsan,UAB,CUSA,,17,16,0.515,,,,,2016-17,17,16,0.515,,,,,,17,16,0.515,,,,
Cliff Ellis,Coastal Carolina,Sun Belt,,20,19,0.513,,,,,2007-08,199,129,0.607,2.0,,,,,735,467,0.611,10.0,3.0,,
Andy Enfield,Southern California,Pac-12,,26,10,0.722,,,Lost Second Round,,2013-14,70,64,0.522,2.0,,,,,111,92,0.547,3.0,1.0,,
Jim Engles,Columbia,Ivy,,11,16,0.407,,,,,2016-17,11,16,0.407,,,,,,122,155,0.44,,,,
Larry Eustachy,Colorado State,MWC,,24,12,0.667,,,,,2012-13,111,60,0.649,1.0,,,,,513,318,0.617,5.0,1.0,,
Anthony Evans,Florida International,CUSA,,7,24,0.226,,,,,2013-14,51,76,0.402,,,,,,150,170,0.469,1.0,,,
Bill Evans,Idaho State,Big Sky,,5,26,0.161,,,,,2012-13,45,106,0.298,,,,,,253,329,0.435,1.0,,,
Jim Ferry,Duquesne,A-10,,10,22,0.312,,,,,2012-13,60,97,0.382,,,,,,210,246,0.461,2.0,,,
Mark Few,Gonzaga,WCC,,37,2,0.949,14.0,2.0,Lost National Final,,1999-00,503,113,0.817,18.0,7.0,1.0,,,503,113,0.817,18.0,7.0,1.0,
Brian Fish,Montana State,Big Sky,,16,16,0.5,,,,,2014-15,37,56,0.398,,,,,,37,56,0.398,,,,
Steve Fisher *,San Diego State,MWC,,19,14,0.576,,,,,1999-00,386,209,0.649,8.0,2.0,,,,571,290,0.663,15.0,6.0,3.0,1.0
Wes Flanigan,Little Rock,Sun Belt,,15,17,0.469,,,,,2016-17,15,17,0.469,,,,,,15,17,0.469,,,,
Tim Floyd *,UTEP,CUSA,,15,17,0.469,,,,,2010-11,137,94,0.593,,,,,,464,275,0.628,8.0,2.0,,
Steve Forbes,East Tennessee State,Southern,,27,8,0.771,,,Lost First Round,,2015-16,51,20,0.718,1.0,,,,,51,20,0.718,1.0,,,
Dana Ford,Tennessee State,OVC,,17,13,0.567,,,,,2014-15,42,50,0.457,,,,,,42,50,0.457,,,,
Travis Ford,Saint Louis,A-10,,12,21,0.364,,,,,2016-17,12,21,0.364,,,,,,290,247,0.54,6.0,,,
Jim Fox,Appalachian State,Sun Belt,,9,21,0.3,,,,,2014-15,30,60,0.333,,,,,,30,60,0.333,,,,
Mark Fox,Georgia,SEC,,19,15,0.559,,,,,2009-10,145,118,0.551,2.0,,,,,268,161,0.625,5.0,,,
John Gallagher,Hartford,AEC,,9,23,0.281,,,,,2010-11,87,134,0.394,,,,,,87,134,0.394,,,,
Eran Ganot,Hawaii,Big West,,14,16,0.467,,,,,2015-16,42,22,0.656,1.0,,,,,45,24,0.652,1.0,,,
Greg Gard,Wisconsin,Big Ten,,27,10,0.73,9.0,25.0,Lost Regional Semifinal,,2015-16,42,18,0.7,2.0,2.0,,,,42,18,0.7,2.0,2.0,,
Jason Gardner,IUPUI,Summit,,14,18,0.438,,,,,2014-15,37,58,0.389,,,,,,37,58,0.389,,,,
Murray Garvin,South Carolina State,MEAC,,11,20,0.355,,,,,2012-13,52,85,0.38,,,,,,52,85,0.38,,,,
Jayson Gee,Longwood,Big South,,6,24,0.2,,,,,2013-14,35,94,0.271,,,,,,35,94,0.271,,,,
Tyler Geving,Portland State,Big Sky,,15,16,0.484,,,,,2009-10,112,133,0.457,,,,,,112,133,0.457,,,,
Ray Giacoletti,Drake,MVC,,1,7,0.125,,,,,2013-14,32,69,0.317,,,,,,155,159,0.494,2.0,1.0,,
John Giannini,La Salle,A-10,,15,15,0.5,,,,,2004-05,199,207,0.49,1.0,1.0,,,,324,318,0.505,1.0,1.0,,
Joe Golding,Abilene Christian,Southland,,13,16,0.448,,,,,2013-14,47,75,0.385,,,,,,47,75,0.385,,,,
Mark Gottfried,NC State,ACC,,15,17,0.469,,,,,2011-12,123,86,0.589,4.0,2.0,,,,401,241,0.625,11.0,3.0,,
Earl Grant,College of Charleston,CAA,,25,10,0.714,,,,,2014-15,51,48,0.515,,,,,,51,48,0.515,,,,
Michael Grant,Coppin State,MEAC,,8,24,0.25,,,,,2014-15,25,69,0.266,,,,,,51,100,0.338,,,,
Matthew Graves,South Alabama,Sun Belt,,14,18,0.438,,,,,2013-14,51,78,0.395,,,,,,51,78,0.395,,,,
John Groce,Illinois,Big Ten,,18,14,0.562,,,,,2012-13,95,75,0.559,1.0,,,,,180,131,0.579,3.0,1.0,,
Jerod Haase,Stanford,Pac-12,,14,17,0.452,,,,,2016-17,14,17,0.452,,,,,,94,70,0.573,1.0,,,
Frank Haith,Tulsa,AAC,,15,17,0.469,,,,,2014-15,58,40,0.592,1.0,,,,,263,169,0.609,4.0,,,
Leonard Hamilton *,Florida State,ACC,,26,9,0.743,,16.0,Lost Second Round,,2002-03,304,196,0.608,5.0,1.0,,,,504,406,0.554,8.0,2.0,,
Derrin Hansen,Omaha,Summit,,18,14,0.562,,,,,2012-13,76,80,0.487,,,,,,76,80,0.487,,,,
Ray Harper,Jacksonville State,OVC,,20,15,0.571,,,Lost First Round,,2016-17,20,15,0.571,1.0,,,,,109,79,0.58,3.0,,,
Jon Harris,SIU Edwardsville,OVC,,6,24,0.2,,,,,2015-16,12,46,0.207,,,,,,12,46,0.207,,,,
Steve Hawkins,Western Michigan,MAC,,16,16,0.5,,,,,2003-04,253,204,0.554,2.0,,,,,253,204,0.554,2.0,,,
Willie Hayes,Alabama A&M,SWAC,,2,27,0.069,,,,,2011-12,54,122,0.307,,,,,,54,122,0.307,,,,
Jim Hayford,Eastern Washington,Big Sky,,22,12,0.647,,,,,2011-12,106,91,0.538,1.0,,,,,106,91,0.538,1.0,,,
Mitch Henderson,Princeton,Ivy,,23,7,0.767,,,Lost First Round,,2011-12,119,60,0.665,1.0,,,,,119,60,0.665,1.0,,,
Steve Henson,UTSA,CUSA,,14,19,0.424,,,,,2016-17,14,19,0.424,,,,,,14,19,0.424,,,,
Greg Herenda,Fairleigh Dickinson,NEC,,11,19,0.367,,,,,2013-14,47,76,0.382,1.0,,,,,47,76,0.382,1.0,,,
Bill Herrion,New Hampshire,AEC,,20,12,0.625,,,,,2005-06,157,206,0.433,,,,,,394,375,0.512,3.0,,,
Lew Hill,Texas-Rio Grande Valley,WAC,,10,22,0.312,,,,,2016-17,10,22,0.312,,,,,,10,22,0.312,,,,
Barry Hinson,Southern Illinois,MVC,,17,16,0.515,,,,,2012-13,79,83,0.488,,,,,,284,223,0.56,,,,
Bob Hoffman,Mercer,Southern,,15,17,0.469,,,,,2008-09,179,130,0.579,1.0,,,,,247,207,0.544,1.0,,,
Chris Holtmann,Butler,Big East,,25,9,0.735,,21.0,Lost Regional Semifinal,,2014-15,70,31,0.693,3.0,1.0,,,,114,85,0.573,3.0,1.0,,
Jason Hooten,Sam Houston,Southland,,21,13,0.618,,,,,2010-11,137,98,0.583,,,,,,137,98,0.583,,,,
Ben Howland,Mississippi State,SEC,,16,16,0.5,,,,,2015-16,30,33,0.476,,,,,,429,241,0.64,10.0,5.0,3.0,
Michael Huger,Bowling Green State,MAC,,13,19,0.406,,,,,2015-16,29,37,0.439,,,,,,29,37,0.439,,,,
Bob Huggins,West Virginia,Big 12,,28,9,0.757,20.0,13.0,Lost Regional Semifinal,,2007-08,229,119,0.658,8.0,4.0,1.0,,,747,305,0.71,23.0,8.0,2.0,
Larry Hunter,Western Carolina,Southern,,9,23,0.281,,,,,2005-06,180,210,0.462,,,,,,384,358,0.518,1.0,,,
Ron Hunter,Georgia State,Sun Belt,,20,13,0.606,,,,,2011-12,123,74,0.624,1.0,,,,,344,253,0.576,2.0,,,
Bobby Hurley,Arizona State,Pac-12,,15,18,0.455,,,,,2015-16,30,35,0.462,,,,,,72,55,0.567,1.0,,,
