Rk,School,G,W,L,W-L%,SRS,SOS,Unnamed: 8,W.1,L.1,Unnamed: 11,W.2,L.2,Unnamed: 14,W.3,L.3,Unnamed: 17,Tm.,Opp.,Unnamed: 20,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
275,South Dakota State,34,22,12,.647,0.71,-3.16,,12,4,,11,3,,6,5,,2610,2408,,1370,954,1976,.483,290,799,.363,412,582,.708,282,1212,435,209,110,380,488
276,South Florida,31,24,7,.774,7.38,0.60,,16,2,,15,2,,7,4,,2351,2141,,1240,788,1791,.440,278,760,.366,497,676,.735,309,1117,467,219,110,330,535
277,Southeast Missouri State,31,9,22,.290,-18.00,-6.30,,4,14,,8,7,,1,14,,2078,2278,,1245,764,1848,.413,192,631,.304,358,512,.699,279,984,383,178,78,371,606
278,Southeastern Louisiana,32,15,17,.469,-10.86,-5.69,,10,8,,9,4,,6,10,,2209,2271,,1290,764,1769,.432,235,677,.347,446,613,.728,343,1120,463,222,73,442,523
279,Southern,32,18,14,.563,-8.66,-6.01,,12,6,,11,2,,7,11,,2275,2198,,1290,807,1829,.441,221,684,.323,440,653,.674,312,1020,440,291,105,456,631
280,Southern California,33,15,18,.455,9.60,9.78,,8,12,,9,6,,3,9,,2446,2452,,1340,872,1932,.451,252,709,.355,450,649,.693,331,1123,515,247,172,418,560
281,Southern Illinois,32,19,13,.594,4.25,0.67,,11,9,,13,5,,5,6,,2325,2183,,1300,791,1746,.453,264,761,.347,479,629,.762,270,1055,456,175,98,356,579
282,SIU Edwardsville,33,17,16,.515,-8.81,-7.28,,9,9,,12,2,,2,13,,2360,2314,,1320,832,1965,.423,239,720,.332,457,631,.724,375,1175,374,226,137,352,550
283,Southern Indiana,32,8,24,.250,-13.45,-5.41,,5,13,,5,10,,3,13,,2195,2335,,1285,737,1811,.407,215,664,.324,506,679,.745,319,1139,362,204,94,423,672
284,Southern Methodist,32,20,12,.625,10.68,2.49,,11,7,,14,3,,5,7,,2443,2170,,1285,903,2024,.446,241,713,.338,396,579,.684,468,1283,506,271,157,362,537
285,Southern Mississippi,32,16,16,.500,-5.63,-2.63,,9,9,,11,3,,5,9,,2236,2273,,1280,775,1826,.424,201,614,.327,485,693,.700,343,1177,376,229,154,411,550
286,Southern Utah,31,10,21,.323,-5.72,-1.17,,5,15,,6,8,,3,13,,2326,2406,,1245,820,1861,.441,195,649,.300,491,674,.728,322,1049,375,202,92,373,548
287,St. Bonaventure,33,20,13,.606,7.05,2.23,,9,9,,11,4,,5,6,,2424,2265,,1335,853,1872,.456,251,687,.365,467,603,.774,320,1087,412,218,128,358,553
288,St. John's (NY),33,20,13,.606,16.28,9.37,,11,9,,13,5,,5,6,,2602,2374,,1320,970,2139,.453,237,696,.341,425,584,.728,476,1279,518,232,180,360,593
289,St. Thomas,33,20,13,.606,-0.63,-5.43,,9,7,,12,2,,6,9,,2402,2140,,1325,859,1824,.471,299,829,.361,385,528,.729,255,1027,451,204,71,303,520
290,Stanford,32,14,18,.438,7.64,7.76,,8,12,,10,6,,3,8,,2443,2447,,1300,882,1886,.468,286,774,.370,393,540,.728,248,1097,515,176,99,410,490
291,Stephen F. Austin,33,18,15,.545,-0.94,-1.75,,10,10,,10,5,,5,8,,2463,2353,,1345,849,1890,.449,203,607,.334,562,796,.706,393,1184,422,295,93,530,697
292,Stetson,34,22,12,.647,-4.51,-3.87,,11,5,,14,2,,6,10,,2635,2475,,1365,933,1998,.467,310,837,.370,459,599,.766,329,1186,459,181,104,355,504
293,Stonehill,31,4,27,.129,-20.02,-6.02,,2,14,,4,8,,0,19,,1967,2360,,1245,714,1788,.399,253,834,.303,286,415,.689,257,1020,366,198,77,421,477
294,Stony Brook,35,20,15,.571,-2.44,-2.47,,10,8,,13,3,,4,11,,2573,2531,,1430,921,2101,.438,277,775,.357,454,614,.739,336,1280,424,211,113,359,532
295,Syracuse,32,20,12,.625,8.31,9.18,,11,9,,14,2,,4,7,,2442,2420,,1280,883,1915,.461,219,651,.336,457,634,.721,277,1064,442,290,129,364,493
296,Tarleton State,32,23,9,.719,0.78,-0.56,,16,4,,11,3,,10,5,,2353,2199,,1285,863,1901,.454,180,553,.325,447,590,.758,348,1080,427,284,115,366,570
297,TCU,33,21,12,.636,15.66,7.66,,9,9,,12,4,,6,5,,2615,2351,,1340,940,2022,.465,217,610,.356,518,710,.730,412,1222,562,299,124,424,580
298,Temple,36,16,20,.444,-1.00,1.95,,5,13,,5,9,,5,7,,2551,2624,,1470,876,2214,.396,296,931,.318,503,709,.709,406,1304,402,265,105,357,610
299,Tennessee,32,24,8,.750,21.79,10.19,,14,4,,14,2,,8,3,,2543,2172,,1280,878,1976,.444,279,816,.342,508,678,.749,374,1242,537,254,149,329,558
300,Tennessee State,33,18,15,.545,-9.41,-7.41,,10,8,,11,3,,5,10,,2400,2343,,1325,832,1881,.442,217,667,.325,519,687,.755,327,1144,396,220,116,436,644
301,Tennessee Tech,31,10,21,.323,-14.79,-6.04,,5,13,,7,8,,3,13,,2089,2289,,1250,758,1692,.448,202,608,.332,371,522,.711,191,957,379,156,90,369,421
302,Tennessee-Martin,32,21,11,.656,-5.34,-7.02,,14,4,,12,2,,9,7,,2609,2455,,1290,908,2045,.444,279,779,.358,514,667,.771,325,1319,415,199,89,366,455
303,Texas,32,20,12,.625,16.04,9.39,,9,9,,14,4,,4,6,,2449,2236,,1285,890,1878,.474,237,654,.362,432,571,.757,324,1106,503,230,144,364,559
304,Texas A&M,34,20,14,.588,13.04,9.07,,9,9,,10,5,,6,6,,2543,2408,,1365,862,2158,.399,234,823,.284,585,825,.709,587,1452,384,242,98,327,566
305,Texas A&M-Commerce,33,13,20,.394,-14.02,-4.69,,6,12,,8,7,,4,12,,2361,2462,,1365,829,1996,.415,288,922,.312,415,592,.701,316,1075,457,262,164,385,582
306,Texas A&M-Corpus Christi,32,21,11,.656,-3.67,-6.92,,14,4,,13,2,,8,7,,2417,2127,,1295,868,1980,.438,181,592,.306,500,708,.706,418,1284,476,281,94,390,673
307,Texas Southern,32,16,16,.500,-9.08,-7.30,,12,6,,7,4,,6,10,,2245,2264,,1285,794,1916,.414,235,743,.316,422,585,.721,356,1132,375,221,122,405,592
308,Texas State,35,17,18,.486,-3.40,-0.43,,7,11,,9,4,,5,11,,2445,2452,,1410,883,1988,.444,159,488,.326,520,747,.696,388,1243,413,258,118,470,617
309,Texas Tech,33,23,10,.697,15.97,9.73,,11,7,,15,2,,4,6,,2494,2288,,1325,853,1881,.453,282,773,.365,506,650,.778,326,1155,486,201,84,368,488
310,Texas-Rio Grande Valley,31,6,25,.194,-13.35,-0.87,,2,18,,5,9,,1,14,,2181,2473,,1250,754,1801,.419,160,547,.293,513,728,.705,290,1037,400,251,92,434,563
311,The Citadel,32,11,21,.344,-6.43,-2.81,,3,15,,7,7,,2,13,,2260,2289,,1285,819,1782,.460,197,600,.328,425,602,.706,300,1094,359,179,84,385,447
312,Toledo,32,20,12,.625,2.00,-1.88,,14,4,,12,3,,8,5,,2560,2436,,1290,920,1926,.478,207,550,.376,513,680,.754,318,1081,430,233,64,342,498
313,Towson,34,20,14,.588,0.39,-2.07,,11,7,,12,2,,6,6,,2296,2164,,1375,818,1934,.423,216,659,.328,444,672,.661,491,1337,381,210,142,413,565
314,Troy,32,20,12,.625,1.50,-2.92,,13,5,,15,2,,5,9,,2546,2261,,1300,859,1950,.441,276,787,.351,552,753,.733,427,1230,438,331,105,441,611
315,Tulane,31,14,17,.452,3.96,2.99,,5,13,,11,6,,2,8,,2540,2481,,1260,856,1798,.476,233,653,.357,595,813,.732,217,1030,440,243,136,347,530
316,Tulsa,31,16,15,.516,-0.93,-0.73,,7,11,,14,4,,2,9,,2325,2290,,1255,779,1775,.439,239,731,.327,528,717,.736,270,1091,392,243,105,403,543
317,UAB,34,23,11,.676,5.20,3.62,,12,6,,12,5,,7,5,,2646,2558,,1380,917,2032,.451,208,638,.326,604,810,.746,437,1296,463,229,157,392,537
318,UC Davis,33,20,13,.606,-0.94,-2.46,,14,6,,10,6,,8,6,,2351,2246,,1330,799,1808,.442,230,684,.336,523,699,.748,327,1102,411,257,116,444,633
319,UC Irvine,33,24,9,.727,7.30,-1.05,,17,3,,13,0,,8,8,,2564,2237,,1330,937,1962,.478,191,547,.349,499,661,.755,345,1247,518,212,112,387,606
320,UC Riverside,34,16,18,.471,-3.94,-0.91,,10,10,,10,5,,4,12,,2404,2448,,1366,842,2122,.397,287,904,.317,433,604,.717,420,1256,446,191,48,326,586
321,UC San Diego,32,21,11,.656,2.80,-2.27,,15,5,,14,2,,7,8,,2455,2213,,1295,856,1877,.456,283,799,.354,460,606,.759,305,1113,415,201,89,309,515
322,UC Santa Barbara,31,16,15,.516,-2.81,-2.64,,9,11,,9,7,,6,7,,2337,2280,,1250,826,1684,.490,187,519,.360,498,677,.736,252,1081,417,152,99,405,511
323,UCF,32,17,15,.531,12.79,8.73,,7,11,,11,7,,3,7,,2289,2159,,1285,789,1881,.419,216,673,.321,495,700,.707,394,1205,369,279,164,400,577
