Rk,School,Conf,Unnamed: 3,AP Rank,W,L,Pts,Opp,MOV,Unnamed: 10,SOS,Unnamed: 12,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
76,Minnesota,Big Ten,,,12,7,76.2,68.0,8.21,,1.02,,3.12,6.11,9.23,109.03,96.35,12.68
77,Michigan,Big Ten,,,7,12,78.7,78.7,-0.05,,9.27,,8.85,0.36,9.21,114.89,102.42,12.47
78,Syracuse,ACC,,,13,6,75.3,72.4,2.95,,8.8,,4.6,4.59,9.19,106.56,93.47,13.09
79,Louisiana State,SEC,,,11,8,76.1,70.2,5.89,,3.21,,6.25,2.86,9.1,108.75,96.38,12.37
80,Southern California,Pac-12,,,8,11,75.7,75.2,0.53,,8.4,,6.76,2.16,8.93,110.9,98.71,12.19
81,St. Bonaventure,A-10,,,12,7,74.2,65.9,8.21,,0.59,,2.49,6.31,8.8,112.94,99.76,13.18
82,UC Irvine,Big West,,,14,6,75.4,65.5,9.9,,1.47,,1.75,6.98,8.73,105.9,94.03,11.87
83,Massachusetts,A-10,,,12,7,81.2,72.0,9.21,,-0.56,,7.87,0.78,8.65,112.45,100.89,11.56
84,Richmond,A-10,,,14,5,73.1,64.9,8.16,,0.48,,0.66,7.97,8.64,108.22,95.82,12.4
85,Virginia Commonwealth,A-10,,,12,7,73.8,67.3,6.58,,2.04,,1.6,7.02,8.62,110.34,97.91,12.43
86,Boston College,ACC,,,11,8,77.0,73.2,3.84,,4.75,,7.22,1.37,8.6,113.84,101.96,11.88
87,James Madison,Sun Belt,,,18,2,85.5,68.8,16.7,,-5.38,,8.39,0.07,8.46,108.88,97.85,11.03
88,Stanford,Pac-12,,,10,9,78.8,76.3,2.58,,5.83,,8.22,0.18,8.4,111.39,100.11,11.28
89,Saint Joseph's,A-10,,,13,7,77.5,69.2,8.3,,-0.82,,4.39,3.09,7.48,110.32,99.5,10.82
90,Penn State,Big Ten,,,9,10,76.4,74.3,2.05,,4.96,,6.86,0.16,7.02,109.42,99.87,9.54
91,Nevada-Las Vegas,MWC,,,9,9,75.6,71.2,4.44,,7.7,,4.78,2.17,6.95,114.02,103.97,10.05
92,Rutgers,Big Ten,,,10,8,68.3,66.5,1.83,,5.12,,-2.11,9.06,6.95,100.03,90.42,9.61
93,Indiana,Big Ten,,,12,7,74.2,74.3,-0.11,,6.96,,4.52,2.33,6.85,108.71,99.07,9.64
94,George Mason,A-10,,,14,5,72.9,65.7,7.21,,0.56,,-0.87,7.71,6.84,108.74,98.48,10.26
95,Arizona State,Pac-12,,,11,8,69.3,70.9,-1.58,,8.37,,0.52,6.27,6.79,103.66,94.65,9.01
96,Samford,Southern,,,17,3,89.3,75.4,13.85,,-3.64,,12.68,-5.93,6.75,111.24,103.5,7.74
97,Duquesne,A-10,,,10,8,72.6,68.1,4.56,,4.57,,1.21,5.35,6.57,106.9,97.77,9.13
98,Appalachian State,Sun Belt,,,16,4,77.6,63.7,13.9,,-2.76,,-0.13,6.48,6.35,105.29,95.7,9.59
99,Southern Illinois,MVC,,,13,7,73.1,64.8,8.25,,-0.72,,-0.76,7.1,6.34,110.63,101.05,9.58
100,Akron,MAC,,,15,4,76.6,65.5,11.05,,-0.21,,-0.13,6.33,6.2,108.44,99.44,9.0
101,Louisiana Tech,CUSA,,,14,6,75.6,63.7,11.85,,0.33,,-0.45,6.61,6.15,105.28,96.2,9.07
102,Oklahoma State,Big 12,,,8,11,71.9,69.6,2.26,,3.8,,0.76,5.3,6.06,106.76,98.79,7.98
103,Tulane,AAC,,,12,7,85.9,79.5,6.47,,0.74,,12.52,-6.62,5.9,112.42,104.81,7.62
104,Arkansas,SEC,,,10,9,76.2,77.5,-1.32,,7.2,,5.39,0.5,5.89,107.13,99.49,7.64
105,Charlotte,AAC,,,12,7,69.0,64.4,4.63,,3.58,,-2.32,8.17,5.86,108.72,99.89,8.83
106,California,Pac-12,,,8,12,75.5,76.3,-0.8,,6.62,,5.68,0.14,5.82,110.34,101.89,8.45
107,Missouri,SEC,,,8,11,74.1,73.6,0.53,,5.07,,1.92,3.68,5.6,109.05,101.1,7.95
108,Santa Clara,WCC,,,15,7,77.8,72.3,5.55,,1.46,,4.75,0.76,5.51,110.03,102.63,7.4
109,Liberty,CUSA,,,13,7,76.5,63.3,13.15,,0.03,,0.17,5.04,5.21,112.56,103.96,8.6
110,McNeese State,Southland,,,17,2,78.7,60.8,17.84,,-3.65,,0.13,5.09,5.21,110.73,102.48,8.26
111,UCLA,Pac-12,,,8,11,65.2,64.6,0.63,,5.98,,-5.22,10.31,5.09,103.36,96.39,6.97
112,Northern Iowa,MVC,,,12,8,74.6,70.5,4.15,,2.62,,1.58,3.31,4.88,108.82,101.38,7.44
113,Georgia Tech,ACC,,,9,10,73.1,75.1,-2.0,,6.83,,4.13,0.7,4.83,109.44,102.61,6.83
114,Loyola (IL),A-10,,,13,7,73.1,67.7,5.45,,1.39,,-0.92,5.35,4.44,102.19,95.76,6.43
115,South Florida,AAC,,,12,5,75.9,70.2,5.71,,-1.37,,1.76,2.58,4.34,107.27,101.66,5.61
116,West Virginia,Big 12,,,7,12,68.4,72.7,-4.32,,8.59,,2.49,1.78,4.27,107.54,101.45,6.09
117,Davidson,A-10,,,12,7,72.9,67.6,5.32,,1.4,,-0.78,4.7,3.92,106.55,100.87,5.68
118,Seattle,WAC,,,12,8,74.5,67.2,7.3,,-1.08,,0.61,3.1,3.71,103.89,98.36,5.53
119,Cornell,Ivy,,,14,3,85.4,75.8,9.59,,-2.17,,10.27,-6.71,3.57,113.4,108.93,4.48
120,Weber State,Big Sky,,,12,8,75.8,64.5,11.3,,-1.27,,-0.2,3.59,3.38,110.12,105.21,4.92
121,Drexel,CAA,,,14,7,74.2,64.4,9.76,,-3.52,,-3.31,6.65,3.33,106.71,100.91,5.8
122,Yale,Ivy,,,12,6,76.2,67.0,9.22,,-0.44,,0.51,2.67,3.18,106.12,101.62,4.5
123,Oregon State,Pac-12,,,10,9,70.3,72.4,-2.05,,7.34,,0.1,3.08,3.17,105.83,102.12,3.71
124,UC San Diego,Big West,,,13,7,76.1,67.5,8.6,,-1.4,,-0.42,3.58,3.15,107.89,103.42,4.47
125,Notre Dame,ACC,,,7,12,62.7,65.5,-2.84,,5.58,,-6.81,9.55,2.74,98.83,95.13,3.7
126,UNC Wilmington,CAA,,,14,5,81.1,71.1,10.0,,-0.31,,1.95,0.62,2.56,109.79,105.76,4.03
127,Stephen F. Austin,WAC,,,12,7,78.2,70.0,8.21,,-1.75,,1.17,1.25,2.43,100.99,98.17,2.82
128,George Washington,A-10,,,14,5,81.4,75.8,5.58,,-2.65,,8.47,-6.07,2.4,105.05,102.57,2.48
129,College of Charleston,CAA,,,14,6,80.8,75.4,5.35,,-1.36,,6.65,-4.32,2.33,109.24,106.04,3.2
130,Loyola Marymount,WCC,,,10,10,74.1,69.5,4.55,,-0.49,,-0.63,2.77,2.14,107.22,104.61,2.61
131,UNC Greensboro,Southern,,,15,5,77.5,68.7,8.8,,-1.55,,-1.04,3.16,2.12,106.99,103.96,3.03
132,Youngstown State,Horizon,,,15,6,81.7,69.3,12.43,,-3.95,,1.46,0.59,2.06,104.78,102.13,2.66
133,Toledo,MAC,,,12,7,78.7,76.3,2.37,,-0.32,,4.86,-2.81,2.05,110.01,107.03,2.97
134,Vermont,AEC,,,15,5,73.5,64.3,9.2,,-2.89,,-2.99,4.77,1.78,107.37,104.36,3.01
135,High Point,Big South,,,17,4,85.0,73.5,11.43,,-5.47,,6.42,-4.68,1.75,112.98,110.27,2.72
136,Wichita State,AAC,,,8,11,72.9,73.6,-0.74,,4.18,,1.22,0.52,1.73,103.21,100.55,2.66
137,Montana,Big Sky,,,13,7,77.4,71.4,6.0,,0.05,,1.82,-0.18,1.64,108.93,106.7,2.23
138,Furman,Southern,,,11,9,81.7,76.3,5.45,,-1.68,,5.86,-4.24,1.62,106.34,104.09,2.24
139,Murray State,MVC,,,8,12,71.6,69.8,1.85,,1.31,,-0.11,1.62,1.52,107.96,105.84,2.12
140,UC Davis,Big West,,,12,7,72.9,66.3,6.58,,-2.44,,-1.55,3.06,1.51,101.49,99.39,2.1
141,Georgetown,Big East,,,8,11,72.6,74.6,-2.0,,3.48,,2.46,-0.97,1.48,109.73,108.41,1.32
142,Eastern Washington,Big Sky,,,12,7,79.0,72.4,6.63,,1.01,,4.12,-2.76,1.37,108.97,106.49,2.48
143,Hofstra,CAA,,,11,9,75.2,70.8,4.45,,-0.54,,-0.74,2.09,1.35,104.91,103.04,1.87
144,Oakland,Horizon,,,12,9,73.9,73.7,0.19,,1.11,,1.68,-0.38,1.3,107.51,106.32,1.19
145,UAB,AAC,,,12,7,76.6,75.1,1.53,,1.68,,3.04,-1.75,1.29,107.39,105.71,1.69
146,Western Carolina,Southern,,,15,5,75.6,66.9,8.7,,-2.79,,-1.36,2.5,1.15,105.01,102.98,2.03
147,Troy,Sun Belt,,,12,8,79.8,69.3,10.5,,-2.2,,2.63,-1.71,0.92,103.49,102.16,1.34
148,Morehead State,OVC,,,15,5,77.4,63.1,14.3,,-2.81,,-1.98,2.8,0.81,106.31,104.14,2.17
149,Missouri State,MVC,,,11,9,70.8,70.2,0.6,,0.18,,-1.57,2.35,0.78,101.89,101.39,0.49
150,Tulsa,AAC,,,10,8,77.7,71.8,5.89,,-3.15,,1.29,-0.61,0.67,101.35,100.21,1.14
151,Towson,CAA,,,12,8,67.7,64.3,3.35,,-0.2,,-6.62,7.26,0.64,103.18,102.15,1.03
152,St. Thomas,Summit,,,14,7,73.7,63.2,10.48,,-5.06,,-4.9,5.5,0.6,105.09,103.44,1.65
153,Delaware,CAA,,,12,8,76.3,71.2,5.1,,-3.08,,0.65,-0.1,0.56,105.59,104.7,0.89
154,Lipscomb,A-Sun,,,13,8,82.1,74.9,7.29,,-3.12,,4.73,-4.27,0.46,111.1,110.45,0.65
155,Louisiana,Sun Belt,,,12,8,78.0,72.7,5.35,,-1.32,,0.91,-0.46,0.46,106.48,105.73,0.76
156,Wright State,Horizon,,,11,10,86.3,81.3,4.95,,-1.56,,11.69,-11.24,0.44,115.46,115.35,0.11
157,South Dakota State,Summit,,,12,9,76.8,72.1,4.67,,-0.58,,2.47,-2.16,0.31,107.16,106.18,0.98
158,East Carolina,AAC,,,10,10,70.1,68.2,1.85,,-0.11,,-3.54,3.8,0.26,104.07,103.65,0.42
159,UC Santa Barbara,Big West,,,12,7,78.6,72.4,6.26,,-3.26,,1.82,-1.72,0.09,106.46,106.41,0.05
160,Illinois-Chicago,MVC,,,8,12,70.1,67.8,2.3,,0.32,,-2.82,2.88,0.06,100.69,101.05,-0.36
161,Winthrop,Big South,,,14,8,78.9,69.9,9.05,,-2.85,,1.01,-1.07,-0.06,104.98,105.06,-0.08
162,Purdue Fort Wayne,Horizon,,,14,7,82.6,71.1,11.43,,-6.04,,3.73,-3.82,-0.09,103.36,103.93,-0.57
163,California Baptist,WAC,,,12,7,68.6,63.7,4.89,,-3.98,,-6.09,5.99,-0.1,102.53,102.12,0.41
164,Hawaii,Big West,,,10,10,70.1,67.2,2.9,,-1.1,,-5.23,5.08,-0.16,101.03,101.68,-0.65
165,Fordham,A-10,,,9,10,74.9,73.8,1.16,,-1.41,,1.19,-1.44,-0.25,99.93,100.73,-0.8
166,Louisville,ACC,,,6,13,72.9,78.1,-5.21,,4.85,,2.24,-2.61,-0.36,106.32,107.51,-1.19
167,Vanderbilt,SEC,,,5,13,67.2,71.9,-4.72,,4.22,,-3.72,3.21,-0.51,101.44,102.63,-1.2
168,Massachusetts-Lowell,AEC,,,14,5,80.5,66.8,13.68,,-6.74,,0.13,-0.68,-0.56,102.71,103.42,-0.71
169,Western Kentucky,CUSA,,,14,6,80.6,75.1,5.45,,-2.85,,4.05,-4.6,-0.56,99.83,101.01,-1.19
170,Kent State,MAC,,,10,10,77.8,74.5,3.3,,-0.74,,2.55,-3.13,-0.57,106.41,107.5,-1.09
171,Ohio,MAC,,,10,10,77.6,71.0,6.6,,-3.46,,1.31,-2.03,-0.72,107.17,108.1,-0.93
172,San Jose State,MWC,,,8,11,75.3,73.9,1.37,,0.21,,0.28,-1.13,-0.85,107.29,108.37,-1.08
173,Belmont,MVC,,,11,9,77.3,78.8,-1.5,,2.44,,4.99,-5.91,-0.93,107.93,109.05,-1.12
174,Wyoming,MWC,,,10,9,73.6,74.9,-1.32,,4.36,,-0.11,-1.06,-1.17,105.01,106.99,-1.98
175,Pennsylvania,Ivy,,,9,9,75.7,72.1,3.61,,0.95,,-0.53,-0.65,-1.18,105.22,107.12,-1.9
176,Chattanooga,Southern,,,13,7,78.5,70.2,8.25,,-4.47,,-0.27,-0.92,-1.19,105.1,106.88,-1.79
177,Colgate,Patriot,,,12,8,70.3,65.8,4.45,,-1.92,,-4.9,3.56,-1.34,101.03,103.14,-2.11
178,UNC Asheville,Big South,,,13,8,81.5,74.3,7.14,,-0.63,,1.64,-3.04,-1.4,106.48,108.36,-1.88
179,UT Arlington,WAC,,,9,10,74.2,74.5,-0.37,,2.93,,1.98,-3.47,-1.49,104.59,106.37,-1.78
180,Air Force,MWC,,,8,10,68.7,68.1,0.56,,-2.16,,-6.8,5.2,-1.6,101.81,104.44,-2.62
181,Rhode Island,A-10,,,9,10,72.9,75.3,-2.32,,2.81,,0.97,-2.71,-1.74,106.17,108.88,-2.71
182,Iona,MAAC,,,9,10,72.3,70.3,2.0,,-3.92,,-2.28,0.36,-1.92,103.08,105.53,-2.45
183,Denver,Summit,,,13,8,86.1,80.2,5.95,,-3.7,,9.8,-11.73,-1.93,110.33,113.33,-3.0
184,Long Beach State,Big West,,,12,8,79.1,77.4,1.75,,-1.05,,4.95,-6.89,-1.94,103.98,106.86,-2.88
185,Arkansas State,Sun Belt,,,8,12,78.1,78.6,-0.5,,-1.49,,2.6,-4.59,-1.99,107.77,109.68,-1.91
186,Longwood,Big South,,,14,8,74.9,64.4,10.5,,-7.24,,-4.78,2.75,-2.03,100.1,102.9,-2.81
187,Bryant,AEC,,,13,7,80.4,75.2,5.2,,-2.54,,1.81,-3.85,-2.04,96.82,99.82,-3.0
188,Utah Valley,WAC,,,9,11,68.6,69.7,-1.1,,1.44,,-5.16,2.99,-2.17,96.58,99.45,-2.88
189,Tarleton State,WAC,,,12,7,70.4,66.6,3.74,,0.48,,-4.9,2.63,-2.27,103.58,106.78,-3.2
190,Monmouth,CAA,,,10,10,71.2,72.6,-1.45,,-0.92,,-2.25,-0.12,-2.37,102.53,106.07,-3.54
191,Northern Kentucky,Horizon,,,11,10,73.6,71.1,2.48,,-2.37,,-1.44,-0.93,-2.37,103.03,106.6,-3.57
192,Pepperdine,WCC,,,9,13,72.0,73.6,-1.68,,1.81,,-0.85,-1.59,-2.44,104.42,108.25,-3.83
193,UTEP,CUSA,,,11,9,74.5,69.8,4.7,,-0.52,,-4.07,1.55,-2.52,97.24,101.0,-3.76
194,Harvard,Ivy,,,10,6,72.1,71.2,0.94,,-1.72,,-1.38,-1.21,-2.59,102.02,105.6,-3.58
195,Cleveland State,Horizon,,,12,9,77.8,74.3,3.48,,-3.2,,1.34,-3.94,-2.6,104.65,108.25,-3.6
196,Jacksonville State,CUSA,,,10,10,70.7,64.0,6.7,,-3.14,,-9.06,6.39,-2.67,97.3,100.81,-3.51
197,Northern Colorado,Big Sky,,,11,8,81.1,78.4,2.74,,-2.96,,6.89,-9.74,-2.84,108.14,112.02,-3.88
198,Bowling Green State,MAC,,,14,5,76.8,70.8,5.95,,-5.53,,-0.71,-2.24,-2.94,100.79,105.11,-4.32
199,Illinois State,MVC,,,10,10,67.0,68.5,-1.55,,-0.31,,-8.09,5.15,-2.94,97.3,101.8,-4.5
200,Temple,AAC,,,8,12,70.5,72.6,-2.15,,0.82,,-1.77,-1.25,-3.02,99.85,104.71,-4.85
201,La Salle,A-10,,,10,9,73.7,72.9,0.79,,-0.19,,0.35,-3.38,-3.03,103.46,107.64,-4.19
202,Saint Louis,A-10,,,8,11,72.5,77.1,-4.58,,3.67,,2.13,-5.29,-3.16,107.42,112.11,-4.7
203,Fresno State,MWC,,,8,11,69.2,73.1,-3.95,,1.55,,-3.34,0.11,-3.23,102.81,107.68,-4.87
