Rk,School,G,W,L,W-L%,SRS,SOS,Unnamed: 8,W.1,L.1,Unnamed: 11,W.2,L.2,Unnamed: 14,W.3,L.3,Unnamed: 17,Tm.,Opp.,Unnamed: 20,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
320,UC Irvine,24,18,6,.750,8.98,0.41,,11,1,,9,0,,6,6,,1827,1570,,965,556,1395,.399,135,425,.318,323,457,.707,249,793,270,142,87,307,411
321,UC Riverside,24,9,15,.375,-5.49,0.19,,4,8,,8,3,,0,12,,1631,1703,,961,604,1324,.456,158,441,.358,337,465,.725,193,863,338,114,90,260,389
322,UC San Diego,23,15,8,.652,4.04,-1.37,,9,3,,10,1,,5,7,,1772,1555,,925,573,1334,.430,164,479,.342,245,351,.698,226,785,294,101,79,281,388
323,UC Santa Barbara,22,13,9,.591,-0.25,-2.40,,6,6,,7,5,,5,4,,1694,1589,,885,598,1337,.447,143,452,.316,250,378,.661,198,666,269,156,62,214,400
324,UCLA,23,12,11,.522,7.52,6.47,,7,5,,7,4,,4,4,,1528,1477,,920,502,1221,.411,171,534,.320,302,424,.712,203,732,245,132,62,283,442
325,UNC Asheville,25,16,9,.640,-1.54,-1.27,,8,2,,10,1,,3,6,,2023,1865,,1010,668,1535,.435,165,544,.303,364,505,.721,288,870,303,159,79,320,515
326,UNC Greensboro,24,17,7,.708,0.69,-1.99,,8,3,,9,2,,5,5,,1857,1688,,970,564,1404,.402,202,639,.316,358,491,.729,254,826,276,136,71,268,387
327,UNC Wilmington,23,17,6,.739,2.44,-0.86,,8,3,,8,0,,8,5,,1851,1641,,930,587,1321,.444,173,491,.352,294,427,.689,232,810,264,89,69,277,429
328,UT Arlington,23,11,12,.478,-0.30,2.23,,6,6,,8,2,,2,10,,1696,1681,,920,564,1352,.417,169,466,.363,384,527,.729,250,797,310,183,83,311,441
329,Utah,23,15,8,.652,16.75,10.14,,6,6,,12,1,,1,5,,1824,1672,,935,618,1465,.422,193,547,.353,243,369,.659,245,846,330,144,72,250,395
330,Utah State,23,19,4,.826,13.47,4.71,,7,3,,10,1,,5,3,,1863,1595,,930,572,1324,.432,136,477,.285,315,434,.726,193,719,278,157,61,294,420
331,Utah Tech,23,9,14,.391,-8.45,-0.99,,5,7,,5,4,,4,10,,1602,1754,,930,596,1364,.437,164,503,.326,398,558,.713,266,852,298,200,92,315,442
332,Utah Valley,23,9,14,.391,-2.87,1.89,,4,8,,7,3,,1,10,,1572,1629,,925,571,1312,.435,156,464,.336,331,481,.688,224,847,321,166,91,306,444
333,UTEP,23,12,11,.522,-2.05,-0.45,,3,5,,11,3,,0,7,,1689,1593,,920,543,1202,.452,125,397,.315,382,541,.706,232,796,251,177,77,440,467
334,UTSA,23,8,15,.348,-7.23,-1.46,,2,8,,6,6,,2,9,,1829,1923,,940,670,1470,.456,212,549,.386,371,525,.707,254,887,364,136,106,226,424
335,Valparaiso,24,6,18,.250,-6.71,1.12,,2,11,,5,8,,1,10,,1622,1763,,960,645,1421,.454,171,497,.344,302,434,.696,262,942,350,155,66,295,376
336,Vanderbilt,22,6,16,.273,-0.51,6.31,,1,8,,6,8,,0,5,,1471,1621,,880,571,1284,.445,183,484,.378,296,388,.763,214,827,302,137,74,239,390
