Rk,School,G,W,L,W-L%,SRS,SOS,Unnamed: 8,W.1,L.1,Unnamed: 11,W.2,L.2,Unnamed: 14,W.3,L.3,Unnamed: 17,Tm.,Opp.,Unnamed: 20,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
51,Chicago State,26,11,15,.423,-8.88,-3.01,,,,,5,5,,5,9,,1792,1807,,67.7,101.4,.373,.354,.518,49.0,46.5,13.5,8.7,.479,16.8,33.8,.264
52,Cincinnati,19,13,6,.684,16.07,4.86,,2,4,,11,2,,2,3,,1485,1272,,69.6,110.8,.301,.346,.533,56.8,55.5,9.0,11.5,.508,13.5,37.2,.204
53,Clemson,18,13,5,.722,15.24,7.57,,3,4,,7,2,,3,3,,1453,1315,,68.4,116.4,.291,.388,.583,54.0,54.1,7.1,13.2,.551,13.1,30.5,.225
54,Cleveland State,21,12,9,.571,-2.60,-3.20,,5,5,,10,1,,2,8,,1634,1561,,69.7,110.3,.349,.322,.527,49.3,47.0,12.7,12.5,.500,13.1,36.0,.229
55,Coastal Carolina,19,5,14,.263,-10.28,-2.69,,2,6,,4,10,,1,4,,1416,1479,,71.5,103.6,.312,.322,.517,51.8,46.2,8.6,11.0,.497,15.5,34.3,.195
56,Colgate,20,12,8,.600,-1.34,-1.92,,6,1,,6,2,,4,5,,1405,1316,,67.6,103.9,.260,.408,.536,52.0,58.6,9.8,8.7,.513,14.7,26.9,.178
57,College of Charleston,20,14,6,.700,2.33,-1.36,,5,2,,8,1,,5,2,,1615,1508,,71.9,112.3,.300,.480,.540,53.1,50.8,7.8,7.8,.508,12.4,34.0,.218
58,Colorado,20,15,5,.750,16.84,5.74,,6,3,,12,0,,1,4,,1638,1416,,70.7,115.1,.366,.291,.602,56.3,58.2,9.2,6.2,.563,16.2,33.2,.287
59,Colorado State,19,15,4,.789,15.37,7.60,,3,3,,10,1,,2,3,,1527,1318,,68.2,117.0,.324,.391,.609,50.2,67.7,10.5,8.7,.580,13.6,25.2,.247
60,Columbia,16,9,7,.563,-5.23,-3.85,,0,3,,7,2,,2,5,,1274,1129,,71.6,111.3,.299,.377,.574,52.6,62.7,11.2,6.0,.540,14.8,29.1,.231
61,Connecticut,19,17,2,.895,20.07,3.60,,7,1,,10,0,,3,2,,1540,1227,,66.5,121.9,.346,.421,.596,56.2,62.0,9.5,14.4,.568,13.1,37.4,.252
62,Coppin State,17,2,15,.118,-19.98,-4.27,,1,2,,2,3,,0,11,,958,1225,,67.9,81.8,.301,.313,.456,43.6,39.7,12.4,8.8,.416,21.3,26.5,.211
63,Cornell,17,14,3,.824,3.57,-2.17,,3,0,,6,0,,6,3,,1452,1289,,73.8,115.7,.299,.475,.605,51.6,60.5,12.1,6.0,.585,16.1,31.1,.213
64,Creighton,20,15,5,.750,19.48,7.48,,6,3,,9,1,,5,3,,1589,1349,,67.4,115.0,.259,.485,.591,53.4,57.3,5.4,8.3,.566,13.8,27.0,.195
65,Dartmouth,16,4,12,.250,-15.91,-1.56,,0,3,,4,3,,0,9,,960,1114,,67.0,89.6,.294,.454,.487,48.7,51.9,6.8,9.3,.451,17.0,21.1,.209
