Rk,School,G,W,L,W-L%,SRS,SOS,Unnamed: 8,W.1,L.1,Unnamed: 11,W.2,L.2,Unnamed: 14,W.3,L.3,Unnamed: 17,Tm.,Opp.,Unnamed: 20,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
120,Illinois-Chicago,33,12,21,.364,-1.45,1.46,,4,16,,6,9,,3,10,,2319,2361,,68.7,102.3,.356,.348,.526,52.3,52.2,9.5,10.5,.481,15.2,28.2,.267
121,Incarnate Word,31,8,23,.258,-16.02,-7.53,,3,15,,5,8,,3,14,,2240,2436,,71.9,108.4,.396,.342,.548,49.3,52.8,11.6,11.1,.510,13.5,29.5,.281
122,Indiana,33,19,14,.576,8.03,10.03,,10,10,,13,5,,4,6,,2386,2452,,69.4,107.1,.316,.412,.529,50.0,52.9,10.8,7.6,.490,12.8,29.7,.237
123,Indiana State,34,28,6,.824,12.76,0.88,,17,3,,13,1,,9,4,,2870,2448,,71.3,100.5,.255,.339,.520,47.1,39.8,8.7,11.7,.488,14.0,23.3,.191
124,Iona,33,16,17,.485,-4.94,-5.70,,10,10,,9,5,,5,8,,2354,2329,,68.0,103.8,.375,.400,.566,53.1,56.5,8.2,10.4,.528,19.6,31.0,.277
125,Iowa,32,18,14,.563,13.24,9.27,,10,10,,12,4,,4,8,,2654,2527,,72.4,108.7,.331,.353,.551,51.0,53.5,8.1,8.6,.521,14.4,30.5,.234
126,Iowa State,34,27,7,.794,23.01,8.74,,13,5,,18,0,,5,5,,2569,2084,,68.2,89.9,.352,.450,.511,49.3,58.8,9.0,8.7,.471,22.6,29.4,.251
127,IUPUI,32,6,26,.188,-21.10,-4.41,,2,18,,4,10,,2,14,,2108,2554,,68.8,115.5,.334,.375,.603,53.0,55.3,10.6,7.7,.578,16.9,34.9,.242
128,Jackson State,32,15,17,.469,-11.49,-7.14,,11,7,,6,2,,7,13,,2279,2418,,70.0,107.6,.345,.396,.558,49.3,54.9,10.4,9.6,.526,16.5,32.0,.247
129,Jacksonville,33,16,17,.485,-9.53,-4.56,,5,11,,11,3,,4,14,,2371,2389,,68.6,105.2,.390,.398,.544,46.7,50.7,10.3,8.8,.506,16.0,29.6,.276
130,Jacksonville State,32,14,18,.438,-3.30,-2.89,,6,10,,8,7,,5,10,,2240,2126,,67.1,98.7,.339,.357,.528,45.5,46.3,10.5,7.8,.494,16.6,24.5,.238
131,James Madison,34,31,3,.912,8.67,-4.81,,15,3,,14,1,,12,2,,2868,2352,,71.8,95.3,.340,.352,.507,46.5,42.4,7.9,8.7,.464,17.5,26.7,.249
132,Kansas,32,22,10,.688,17.62,11.71,,10,8,,15,1,,3,7,,2408,2198,,69.7,98.2,.281,.414,.504,48.3,51.0,9.9,6.8,.473,14.8,26.1,.197
133,Kansas City,32,16,16,.500,-4.98,-4.16,,10,6,,10,3,,6,9,,2300,2217,,67.3,101.4,.430,.374,.540,47.1,49.6,8.6,7.6,.497,16.5,25.8,.306
134,Kansas State,33,19,14,.576,11.81,10.42,,8,10,,15,3,,2,8,,2372,2326,,68.2,100.7,.326,.367,.502,48.0,52.4,11.9,10.8,.465,13.7,30.5,.229
135,Kennesaw State,31,15,16,.484,-7.71,-5.53,,6,10,,9,5,,4,11,,2568,2504,,75.4,106.3,.408,.387,.547,49.9,47.7,9.2,12.0,.507,15.5,29.5,.294
136,Kent State,34,17,17,.500,-0.52,-2.30,,8,10,,9,6,,4,9,,2544,2424,,67.7,103.4,.345,.398,.548,49.0,50.6,9.2,8.6,.512,16.9,28.7,.251
137,Kentucky,32,23,9,.719,17.61,7.86,,13,5,,14,4,,7,3,,2862,2550,,74.0,106.4,.333,.399,.530,49.4,52.0,8.6,8.9,.494,13.8,30.4,.240
138,La Salle,33,16,17,.485,-1.43,1.04,,6,12,,11,6,,3,10,,2398,2411,,67.3,106.9,.327,.326,.537,52.0,51.2,7.3,9.6,.503,13.7,30.3,.235
139,Lafayette,32,11,21,.344,-10.95,-5.79,,10,8,,5,10,,6,9,,2010,2154,,65.3,101.5,.310,.384,.521,52.7,51.5,9.5,9.0,.483,15.4,29.2,.229
140,Lamar,33,19,14,.576,-5.04,-7.84,,12,6,,11,3,,5,11,,2568,2406,,70.5,101.8,.394,.400,.528,48.0,58.5,10.2,7.7,.488,16.9,30.9,.278
