Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
127,Iowa NCAA,36,26,10,.722,18.90,6.87,,12,8,,15,3,,6,6,,2995,2562,,70.3,117.5,.300,.393,.564,51.0,53.9,10.4,11.3,.533,11.1,32.2,.225
128,Iowa State NCAA,35,22,13,.629,12.38,9.33,,7,11,,14,5,,4,6,,2296,2189,,67.2,96.9,.271,.377,.517,49.3,60.4,12.6,9.8,.491,17.9,28.4,.185
129,IUPUI,29,3,26,.103,-23.61,-6.50,,1,16,,2,11,,1,13,,1521,1947,,63.4,82.7,.264,.348,.461,49.0,54.4,9.0,8.4,.430,22.6,31.1,.176
130,Jackson State,30,11,19,.367,-10.10,-5.60,,9,9,,6,3,,5,15,,1829,1964,,65.9,92.1,.265,.304,.477,51.0,46.8,9.2,10.2,.453,17.1,31.4,.168
131,Jacksonville,31,21,10,.677,-2.06,-5.21,,11,5,,15,0,,6,10,,2081,1839,,63.1,106.0,.297,.316,.535,55.7,50.4,10.3,6.8,.505,15.3,33.6,.210
132,Jacksonville State NCAA,32,21,11,.656,-0.19,-3.79,,13,3,,11,4,,9,5,,2353,2151,,67.5,108.6,.308,.428,.571,52.9,54.7,9.2,8.8,.549,16.9,29.5,.212
133,James Madison,29,15,14,.517,-4.13,-1.10,,6,12,,9,6,,5,6,,2178,2123,,70.5,105.1,.293,.359,.550,48.2,48.3,11.9,6.5,.525,15.4,26.9,.204
134,Kansas NCAA,40,34,6,.850,22.28,11.30,,14,4,,16,1,,6,4,,3129,2690,,69.5,111.5,.323,.331,.567,53.4,53.6,8.9,10.9,.538,14.9,32.9,.232
135,Kansas City,31,19,12,.613,-5.49,-5.23,,12,6,,11,3,,8,7,,2311,2085,,70.2,106.2,.311,.344,.563,48.5,48.0,10.6,8.3,.541,13.7,20.4,.210
136,Kansas State,31,14,17,.452,10.61,9.06,,6,12,,9,7,,5,7,,2139,2091,,67.4,101.5,.296,.424,.527,48.1,51.6,10.8,4.9,.494,14.9,25.3,.215
137,Kennesaw State,31,13,18,.419,-4.51,-2.62,,7,9,,10,6,,3,12,,2319,2206,,68.3,107.7,.297,.385,.553,51.7,52.5,10.3,8.3,.533,15.5,30.9,.197
138,Kent State,34,23,11,.676,-0.13,-3.07,,16,4,,11,4,,8,5,,2423,2217,,67.5,105.6,.320,.400,.544,53.1,49.6,10.5,11.4,.508,15.7,31.2,.239
139,Kentucky NCAA,34,26,8,.765,20.90,8.02,,14,4,,18,0,,6,5,,2701,2263,,69.2,114.0,.280,.279,.559,56.9,53.3,9.7,11.1,.531,14.0,37.7,.203
140,La Salle,30,11,19,.367,-3.50,0.54,,5,13,,8,7,,2,10,,2025,2146,,68.4,97.4,.251,.399,.504,50.0,54.0,8.5,11.5,.477,16.4,28.9,.173
141,Lafayette,30,10,20,.333,-12.60,-6.67,,7,11,,6,9,,4,11,,2034,2185,,66.0,100.6,.215,.458,.527,46.2,64.1,9.3,9.0,.508,14.6,22.9,.147
