Coach,School,Conference,Unnamed: 3,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,Unnamed: 10,Since,W.1,L.1,W-L%.1,NCAA,S16,FF,Chmp,Unnamed: 19,W.2,L.2,W-L%.2,NCAA.1,S16.1,FF.1,Chmp.1
Jeff Boals,Ohio,MAC,,19,14,0.576,,,,,2019-20,78,47,0.624,1.0,,,,,133,89,0.599,1.0,,,
Jim Boeheim *,Syracuse,ACC,,17,15,0.531,,,,,1976-77,1116,441,0.717,35.0,20.0,5.0,1.0,,1116,441,0.717,35.0,20.0,5.0,1.0
Anthony Boone,Central Arkansas,A-Sun,,9,22,0.29,,,,,2019-20,34,73,0.318,,,,,,34,73,0.318,,,,
Tad Boyle,Colorado,Pac-12,,18,17,0.514,,,,,2010-11,272,172,0.613,5.0,,,,,328,238,0.58,5.0,,,
Michael Boynton,Oklahoma State,Big 12,,20,16,0.556,,,,,2017-18,107,89,0.546,1.0,,,,,107,89,0.546,1.0,,,
Solomon Bozeman,Arkansas-Pine Bluff,SWAC,,10,21,0.323,,,,,2021-22,17,45,0.274,,,,,,17,45,0.274,,,,
Glenn Braica,St. Francis (NY),NEC,,14,16,0.467,,,,,2010-11,178,216,0.452,,,,,,178,216,0.452,,,,
Mike Brennan,American,Patriot,,17,15,0.531,,,,,2013-14,125,166,0.43,1.0,,,,,125,166,0.43,1.0,,,
Mike Brey,Notre Dame,ACC,,11,21,0.344,,,,,2000-01,483,280,0.633,13.0,3.0,,,,582,332,0.637,15.0,3.0,,
Kevin Broadus,Morgan State,MEAC,,15,16,0.484,,,,,2019-20,57,55,0.509,,,,,,94,80,0.54,1.0,,,
Alvin Brooks,Lamar,Southland,,9,22,0.29,,,,,2021-22,11,49,0.183,,,,,,65,133,0.328,,,,
Isaac Brown,Wichita State,AAC,,17,15,0.531,,,,,2020-21,48,34,0.585,1.0,,,,,48,34,0.585,1.0,,,
Brad Brownell,Clemson,ACC,,23,11,0.676,,,,,2010-11,241,177,0.577,3.0,1.0,,,,408,262,0.609,6.0,1.0,,
Shane Burcar,Northern Arizona,Big Sky,,12,23,0.343,,,,,2019-20,43,76,0.361,,,,,,43,76,0.361,,,,
Brian Burg,Georgia Southern,Sun Belt,,17,16,0.515,,,,,2020-21,43,45,0.489,,,,,,43,45,0.489,,,,
Rashon Burno,Northern Illinois,MAC,,13,19,0.406,,,,,2021-22,22,40,0.355,,,,,,22,40,0.355,,,,
Landon Bussie,Alcorn State,SWAC,,18,14,0.562,,,,,2020-21,41,44,0.482,,,,,,41,44,0.482,,,,
Mark Byington,James Madison,Sun Belt,,22,11,0.667,,,,,2020-21,50,32,0.61,,,,,,181,129,0.584,,,,
Rick Cabrera,Northwestern State,Southland,,0,0,,,,,,2022-23,0,0,,,,,,,0,0,,,,,
Jerrod Calhoun,Youngstown State,Horizon,,24,10,0.706,,,,,2017-18,96,96,0.5,,,,,,96,96,0.5,,,,
John Calipari *,Kentucky,SEC,,22,12,0.647,4.0,,Lost Second Round,,2009-10,387,113,0.774,11.0,8.0,4.0,1.0,,832,253,0.767,22.0,15.0,6.0,1.0
Jeff Capel III *,Pittsburgh,ACC,,24,12,0.667,,,Lost Second Round,,2018-19,75,81,0.481,1.0,,,,,250,191,0.567,4.0,1.0,,
Chris Caputo,George Washington,A-10,,16,16,0.5,,,,,2022-23,16,16,0.5,,,,,,16,16,0.5,,,,
Jack Castleberry,Fairleigh Dickinson,NEC,,0,0,,,,Lost Second Round,,2022-23,0,0,,1.0,,,,,0,0,,1.0,,,
Patrick Chambers,Florida Gulf Coast,A-Sun,,17,15,0.531,,,,,2022-23,17,15,0.531,,,,,,207,193,0.517,1.0,,,
Austin Claunch,Nicholls State,Southland,,16,15,0.516,,,,,2018-19,90,61,0.596,,,,,,90,61,0.596,,,,
Zac Claus,Idaho,Big Sky,,10,21,0.323,,,,,2019-20,28,88,0.241,,,,,,28,88,0.241,,,,
Speedy Claxton,Hofstra,CAA,,25,10,0.714,,,,,2021-22,46,21,0.687,,,,,,46,21,0.687,,,,
Flynn Clayman,Southern Utah,WAC,,2,1,0.667,,,,,2022-23,2,1,0.667,,,,,,2,1,0.667,,,,
Jase Coburn,Portland State,Big Sky,,12,19,0.387,,,,,2021-22,26,36,0.419,,,,,,26,36,0.419,,,,
Bill Coen,Northeastern,CAA,,10,20,0.333,,,,,2006-07,270,264,0.506,2.0,,,,,270,264,0.506,2.0,,,
Jon Coffman,Purdue Fort Wayne,Horizon,,17,16,0.515,,,,,2014-15,156,130,0.545,,,,,,156,130,0.545,,,,
Brian Collins,Tennessee State,OVC,,18,14,0.562,,,,,2018-19,63,87,0.42,,,,,,63,87,0.42,,,,
Chris Collins,Northwestern,Big Ten,,23,12,0.657,,,Lost Second Round,,2013-14,156,162,0.491,2.0,,,,,156,162,0.491,2.0,,,
Ed Conroy,The Citadel,Southern,,10,22,0.312,,,,,2006-07,59,98,0.376,,,,,,151,201,0.429,,,,
Ed Cooley,Providence,Big East,,21,12,0.636,,,Lost First Round,,2011-12,242,153,0.613,7.0,1.0,,,,334,222,0.601,7.0,1.0,,
Donald Copeland,Wagner,NEC,,15,13,0.536,,,,,2022-23,15,13,0.536,,,,,,15,13,0.536,,,,
Ron Cottrell,Houston Christian,Southland,,10,22,0.312,,,,,2008-09,147,308,0.323,,,,,,147,308,0.323,,,,
Tim Craft,Gardner-Webb,Big South,,15,16,0.484,,,,,2013-14,171,150,0.533,1.0,,,,,171,150,0.533,1.0,,,
Jason Crafton,Maryland-Eastern Shore,MEAC,,18,13,0.581,,,,,2019-20,34,56,0.378,,,,,,34,56,0.378,,,,
Matt Crenshaw,IUPUI,Horizon,,5,27,0.156,,,,,2021-22,8,53,0.131,,,,,,8,53,0.131,,,,
Mick Cronin,UCLA,Pac-12,,31,6,0.838,8.0,7.0,Lost Regional Semifinal,,2019-20,99,36,0.733,3.0,3.0,1.0,,,464,207,0.692,14.0,4.0,1.0,
Scott Cross,Troy,Sun Belt,,20,13,0.606,,,,,2019-20,60,64,0.484,,,,,,285,225,0.559,1.0,,,
Rick Croy,California Baptist,WAC,,17,16,0.515,,,,,2018-19,85,67,0.559,,,,,,85,67,0.559,,,,
Chris Crutchfield,Omaha,Summit,,9,23,0.281,,,,,2022-23,9,23,0.281,,,,,,9,23,0.281,,,,
Carson Cunningham,Incarnate Word,Southland,,12,19,0.387,,,,,2018-19,42,105,0.286,,,,,,42,105,0.286,,,,
Dan D'Antoni II,Marshall,Sun Belt,,24,8,0.75,,,,,2014-15,164,128,0.562,1.0,,,,,164,128,0.562,1.0,,,
Keith Dambrot,Duquesne,A-10,,20,13,0.606,,,,,2017-18,91,84,0.52,,,,,,416,257,0.618,3.0,,,
Scott Davenport,Bellarmine,A-Sun,,15,18,0.455,,,,,2020-21,49,39,0.557,,,,,,49,39,0.557,,,,
Hubert Davis,North Carolina,ACC,,20,13,0.606,1.0,,,,2021-22,49,23,0.681,1.0,1.0,1.0,,,49,23,0.681,1.0,1.0,1.0,
Kermit Davis Jr,Mississippi,SEC,,10,18,0.357,,,,,2018-19,74,79,0.484,1.0,,,,,477,317,0.601,6.0,,,
Mike Davis,Detroit Mercy,Horizon,,14,19,0.424,,,,,2018-19,59,88,0.401,,,,,,411,329,0.555,9.0,1.0,1.0,
Nathan Davis,Bucknell,Patriot,,12,20,0.375,,,,,2015-16,129,115,0.529,2.0,,,,,129,115,0.529,2.0,,,
Johnny Dawkins Jr,Central Florida,AAC,,19,15,0.559,,,,,2016-17,131,87,0.601,1.0,,,,,287,202,0.587,2.0,1.0,,
Ed DeChellis,Navy,Patriot,,18,13,0.581,,,,,2011-12,168,193,0.465,,,,,,387,424,0.477,2.0,,,
Travis DeCuire,Montana,Big Sky,,17,14,0.548,,,,,2014-15,177,112,0.612,2.0,,,,,177,112,0.612,2.0,,,
Darian DeVries,Drake,MVC,,27,8,0.771,,,Lost First Round,,2018-19,122,48,0.718,2.0,,,,,122,48,0.718,2.0,,,
Tom Devitt,Hartford,Ind,,5,23,0.179,,,,,2022-23,5,23,0.179,,,,,,5,23,0.179,,,,
Dave Dickerson,South Carolina Upstate,Big South,,16,16,0.5,,,,,2018-19,55,97,0.362,,,,,,123,181,0.405,,,,
Jamie Dixon,TCU,Big 12,,22,13,0.629,14.0,22.0,Lost Second Round,,2016-17,139,97,0.589,3.0,,,,,467,220,0.68,14.0,3.0,,
Juan Dixon,Coppin State,MEAC,,9,23,0.281,,,,,2017-18,51,131,0.28,,,,,,51,131,0.28,,,,
Steve Donahue,Pennsylvania,Ivy,,17,13,0.567,,,,,2015-16,112,93,0.546,1.0,,,,,312,307,0.504,4.0,1.0,,
Bryce Drew,Grand Canyon,WAC,,24,12,0.667,,,Lost First Round,,2020-21,64,27,0.703,2.0,,,,,228,135,0.628,5.0,,,
Scott Drew,Baylor,Big 12,,23,11,0.676,5.0,11.0,Lost Second Round,,2003-04,422,233,0.644,11.0,5.0,1.0,1.0,,442,244,0.644,11.0,5.0,1.0,1.0
Matthew Driscoll,North Florida,A-Sun,,14,17,0.452,,,,,2009-10,217,231,0.484,1.0,,,,,217,231,0.484,1.0,,,
Eric Duft,Weber State,Big Sky,,18,15,0.545,,,,,2022-23,18,15,0.545,,,,,,18,15,0.545,,,,
Baker Dunleavy,Quinnipiac,MAAC,,20,12,0.625,,,,,2017-18,86,93,0.48,,,,,,86,93,0.48,,,,
John Dunne,Marist,MAAC,,13,20,0.394,,,,,2018-19,58,87,0.4,,,,,,211,312,0.403,1.0,,,
Fran Dunphy,La Salle,A-10,,15,19,0.441,,,,,2022-23,15,19,0.441,,,,,,595,344,0.634,17.0,,,
Pat Duquette,Massachusetts-Lowell,AEC,,26,8,0.765,,,,,2013-14,136,163,0.455,,,,,,136,163,0.455,,,,
Brian Dutcher,San Diego State,MWC,,32,7,0.821,19.0,18.0,Lost National Final,,2017-18,151,47,0.763,4.0,1.0,1.0,,,151,47,0.763,4.0,1.0,1.0,
Brian Earl,Cornell,Ivy,,17,11,0.607,,,,,2016-17,74,95,0.438,,,,,,74,95,0.438,,,,
Dan Earl,Chattanooga,Southern,,18,17,0.514,,,,,2022-23,18,17,0.514,,,,,,91,156,0.368,,,,
Cliff Ellis,Coastal Carolina,Sun Belt,,11,20,0.355,,,,,2007-08,294,223,0.569,2.0,,,,,830,561,0.597,10.0,3.0,,
Andy Enfield,Southern California,Pac-12,,22,11,0.667,,,Lost First Round,,2013-14,205,129,0.614,5.0,1.0,,,,246,157,0.61,6.0,2.0,,
Dan Engelstad,Mount St. Mary's,MAAC,,13,20,0.394,,,,,2018-19,59,90,0.396,1.0,,,,,59,90,0.396,1.0,,,
Jim Engles,Columbia,Ivy,,7,22,0.241,,,,,2016-17,46,121,0.275,,,,,,157,260,0.376,,,,
Kim English,George Mason,A-10,,20,13,0.606,,,,,2021-22,34,29,0.54,,,,,,34,29,0.54,,,,
Patrick Ewing,Georgetown,Big East,,7,25,0.219,,,,,2017-18,75,109,0.408,1.0,,,,,75,109,0.408,1.0,,,
Quinton Ferrell,Presbyterian,Big South,,5,27,0.156,,,,,2019-20,34,84,0.288,,,,,,34,84,0.288,,,,
Jim Ferry,Maryland-Baltimore County,AEC,,18,14,0.562,,,,,2021-22,36,28,0.562,,,,,,257,288,0.472,2.0,,,
Mark Few,Gonzaga,WCC,,31,6,0.838,2.0,9.0,Lost Regional Final,,1999-00,689,135,0.836,23.0,12.0,2.0,,,689,135,0.836,23.0,12.0,2.0,
Matt Figger,Texas-Rio Grande Valley,WAC,,15,17,0.469,,,,,2021-22,23,40,0.365,,,,,,99,91,0.521,,,,
Dane Fischer,William & Mary,CAA,,13,20,0.394,,,,,2019-20,46,68,0.404,,,,,,46,68,0.404,,,,
Adam Fisher,Temple,AAC,,0,0,,,,,,2022-23,0,0,,,,,,,0,0,,,,,
Steve Forbes,Wake Forest,ACC,,19,14,0.576,,,,,2020-21,50,40,0.556,,,,,,180,83,0.684,1.0,,,
Dana Ford,Missouri State,MVC,,17,15,0.531,,,,,2018-19,89,66,0.574,,,,,,146,131,0.527,,,,
Geno Ford,Stony Brook,CAA,,11,22,0.333,,,,,2019-20,58,62,0.483,,,,,,172,185,0.482,,,,
Travis Ford,Saint Louis,A-10,,21,12,0.636,,,,,2016-17,133,89,0.599,1.0,,,,,411,315,0.566,7.0,,,
Mark Fox,California,Pac-12,,3,29,0.094,,,,,2019-20,38,87,0.304,,,,,,324,263,0.552,5.0,,,
John Gallagher,Manhattan,MAAC,,0,0,,,,,,2022-23,0,0,,,,,,,169,207,0.449,1.0,,,
Joe Gallo,Merrimack,NEC,,18,16,0.529,,,,,2019-20,61,52,0.54,,,,,,61,52,0.54,,,,
Eran Ganot,Hawaii,Big West,,22,11,0.667,,,,,2015-16,136,88,0.607,1.0,,,,,139,90,0.607,1.0,,,
Greg Gard,Wisconsin,Big Ten,,20,15,0.571,,,,,2015-16,164,93,0.638,5.0,2.0,,,,164,93,0.638,5.0,2.0,,
Greg Gary,Mercer,Southern,,14,19,0.424,,,,,2019-20,65,62,0.512,,,,,,81,106,0.433,,,,
Dennis Gates,Missouri,SEC,,25,10,0.714,,23.0,Lost Second Round,,2022-23,25,10,0.714,1.0,,,,,75,50,0.6,2.0,,,
Kyle Gerdeman,Lindenwood,OVC,,11,21,0.344,,,,,2022-23,11,21,0.344,,,,,,11,21,0.344,,,,
Chris Gerlufsen,San Francisco,WCC,,20,14,0.588,,,,,2022-23,20,14,0.588,,,,,,28,19,0.596,,,,
Gerald Gillion,Chicago State,Ind,,11,20,0.355,,,,,2021-22,18,45,0.286,,,,,,18,45,0.286,,,,
Billy Gillispie,Tarleton State,WAC,,17,17,0.5,,,,,2020-21,41,44,0.482,,,,,,189,152,0.554,4.0,1.0,,
Corey Gipson,Northwestern State,Southland,,22,11,0.667,,,,,2022-23,22,11,0.667,,,,,,22,11,0.667,,,,
Todd Golden,Florida,SEC,,16,17,0.485,,,,,2022-23,16,17,0.485,,,,,,73,53,0.579,1.0,,,
Joe Golding,UTEP,CUSA,,14,18,0.438,,,,,2021-22,34,32,0.515,,,,,,168,146,0.535,2.0,,,
Stan Gouard,Southern Indiana,OVC,,16,17,0.485,,,,,2022-23,16,17,0.485,,,,,,16,17,0.485,,,,
Anthony Grant,Dayton,A-10,,22,12,0.647,24.0,,,,2017-18,124,64,0.66,,,,,,317,174,0.646,3.0,,,
Earl Grant,Boston College,ACC,,16,17,0.485,,,,,2021-22,29,37,0.439,,,,,,156,126,0.553,1.0,,,
Jared Grasso,Bryant,AEC,,17,13,0.567,,,,,2018-19,79,67,0.541,1.0,,,,,80,89,0.473,1.0,,,
Justin Gray,Western Carolina,Southern,,18,16,0.529,,,,,2021-22,29,37,0.439,,,,,,29,37,0.439,,,,
Brian Gregory,South Florida,AAC,,14,18,0.438,,,,,2017-18,79,107,0.425,,,,,,327,287,0.533,2.0,,,
John Griffin III,Bucknell,Patriot,,0,0,,,,,,2022-23,0,0,,,,,,,0,0,,,,,
John Groce,Akron,MAC,,22,11,0.667,,,,,2017-18,116,70,0.624,1.0,,,,,296,201,0.596,4.0,1.0,,
Jerod Haase,Stanford,Pac-12,,14,19,0.424,,,,,2016-17,112,109,0.507,,,,,,192,162,0.542,1.0,,,
George Halcovage III,Buffalo,MAC,,0,0,,,,,,2022-23,0,0,,,,,,,0,0,,,,,
A.W. Hamilton,Eastern Kentucky,A-Sun,,23,14,0.622,,,,,2018-19,87,74,0.54,,,,,,87,74,0.54,,,,
Leonard Hamilton *,Florida State,ACC,,9,23,0.281,,,,,2002-03,426,265,0.616,8.0,4.0,,,,626,475,0.569,11.0,5.0,,
Anfernee Hardaway,Memphis,AAC,,26,9,0.743,,24.0,Lost First Round,,2018-19,111,52,0.681,2.0,,,,,111,52,0.681,2.0,,,
Tavaras Hardy,Loyola (MD),Patriot,,13,20,0.394,,,,,2018-19,59,85,0.41,,,,,,59,85,0.41,,,,
Ray Harper,Jacksonville State,A-Sun,,13,18,0.419,,,,,2016-17,132,94,0.584,2.0,,,,,221,158,0.583,4.0,,,
Jonas Hayes,Georgia State,Sun Belt,,10,21,0.323,,,,,2022-23,10,21,0.323,,,,,,14,21,0.4,,,,
Stan Heath,Eastern Michigan,MAC,,8,23,0.258,,,,,2021-22,18,44,0.29,,,,,,227,251,0.475,4.0,1.0,,
Greg Heiar,New Mexico State,WAC,,9,15,0.375,,,,,2022-23,9,15,0.375,,,,,,9,15,0.375,,,,
Eric Henderson,South Dakota State,Summit,,19,13,0.594,,,,,2019-20,87,35,0.713,1.0,,,,,87,35,0.713,1.0,,,
Mitch Henderson,Princeton,Ivy,,23,9,0.719,,,Lost Regional Semifinal,,2011-12,208,117,0.64,2.0,1.0,,,,208,117,0.64,2.0,1.0,,
Charlie Henry,Georgia Southern,Sun Belt,,0,0,,,,,,2022-23,0,0,,,,,,,0,0,,,,,
Steve Henson,UTSA,CUSA,,10,22,0.312,,,,,2016-17,99,123,0.446,,,,,,99,123,0.446,,,,
Bill Herrion,New Hampshire,AEC,,15,15,0.5,,,,,2005-06,227,303,0.428,,,,,,464,472,0.496,3.0,,,
Talvin Hester,Louisiana Tech,CUSA,,15,18,0.455,,,,,2022-23,15,18,0.455,,,,,,15,18,0.455,,,,
Ross Hodge,North Texas,CUSA,,0,0,,,,,,2022-23,0,0,,,,,,,0,0,,,,,
Bryan Hodgson,Arkansas State,Sun Belt,,0,0,,,,,,2022-23,0,0,,,,,,,0,0,,,,,
Fred Hoiberg,Nebraska,Big Ten,,16,16,0.5,,,,,2019-20,40,83,0.325,,,,,,155,139,0.527,4.0,1.0,,
Shaheen Holloway,Seton Hall,Big East,,17,16,0.515,,,,,2022-23,17,16,0.515,,,,,,81,70,0.536,1.0,1.0,,
Chris Holtmann,Ohio State,Big Ten,,16,19,0.457,,,,,2017-18,123,75,0.621,4.0,,,,,237,160,0.597,7.0,1.0,,
Jason Hooten,Sam Houston,WAC,,26,8,0.765,,,,,2010-11,261,169,0.607,,,,,,261,169,0.607,,,,
Mike Hopkins,Washington,Pac-12,,16,16,0.5,,,,,2017-18,101,91,0.526,,,,,,105,96,0.522,1.0,,,
Darrin Horn,Northern Kentucky,Horizon,,22,13,0.629,,,Lost First Round,,2019-20,79,45,0.637,1.0,,,,,250,156,0.616,2.0,1.0,,
Juwan Howard,Michigan,Big Ten,,18,16,0.529,22.0,,,,2019-20,79,48,0.622,2.0,2.0,,,,79,48,0.622,2.0,2.0,,
Michael Huger,Bowling Green State,MAC,,11,20,0.355,,,,,2015-16,126,125,0.502,,,,,,126,125,0.502,,,,
Bob Huggins,West Virginia,Big 12,,19,15,0.559,,,Lost First Round,,2007-08,345,203,0.63,11.0,5.0,1.0,,,863,389,0.689,26.0,9.0,2.0,
Otis Hughley Jr.,Alabama A&M,SWAC,,15,18,0.455,,,,,2022-23,15,18,0.455,,,,,,15,18,0.455,,,,
Ron Hunter,Tulane,AAC,,20,11,0.645,,,,,2019-20,56,57,0.496,,,,,,448,331,0.575,4.0,,,
Bobby Hurley,Arizona State,Pac-12,,23,13,0.639,,,Lost First Round,,2015-16,141,113,0.555,3.0,,,,,183,133,0.579,4.0,,,
Dan Hurley,Connecticut,Big East,,31,8,0.795,,10.0,Won National Final,,2018-19,104,55,0.654,3.0,1.0,1.0,1.0,,255,160,0.614,5.0,1.0,1.0,1.0
Alan Huss,High Point,Big South,,0,0,,,,,,2022-23,0,0,,,,,,,0,0,,,,,
Justin Hutson,Fresno State,MWC,,11,20,0.355,,,,,2018-19,80,73,0.523,,,,,,80,73,0.523,,,,
Martin Ingelsby,Delaware,CAA,,17,16,0.515,,,,,2016-17,112,103,0.521,1.0,,,,,112,103,0.521,1.0,,,
George Ivory,Mississippi Valley State,SWAC,,5,27,0.156,,,,,2022-23,5,27,0.156,,,,,,145,296,0.329,1.0,,,
Tom Izzo,Michigan State,Big Ten,,21,13,0.618,,,Lost Regional Semifinal,,1995-96,687,280,0.71,25.0,15.0,8.0,1.0,,687,280,0.71,25.0,15.0,8.0,1.0
Donte Jackson,Grambling,SWAC,,24,9,0.727,,,,,2017-18,99,87,0.532,,,,,,99,87,0.532,,,,
Ben Jacobson,Northern Iowa,MVC,,14,18,0.438,,,,,2006-07,335,219,0.605,4.0,1.0,,,,335,219,0.605,4.0,1.0,,
Nate James,Austin Peay,A-Sun,,9,22,0.29,,,,,2021-22,21,39,0.35,,,,,,21,39,0.35,,,,
Chris Jans,Mississippi State,SEC,,21,13,0.618,,,Lost First Four,,2022-23,21,13,0.618,1.0,,,,,164,57,0.742,4.0,,,
Rob Jeter,Western Illinois,Summit,,16,14,0.533,,,,,2020-21,39,45,0.464,,,,,,223,215,0.509,2.0,,,
Ben Johnson,Minnesota,Big Ten,,9,22,0.29,,,,,2021-22,22,39,0.361,,,,,,22,39,0.361,,,,
Kevin Johnson,Southern,SWAC,,0,0,,,,,,2022-23,0,0,,,,,,,65,100,0.394,,,,
Royce Johnson,UT Arlington,WAC,,2,5,0.286,,,,,2022-23,2,5,0.286,,,,,,2,5,0.286,,,,
Stan Johnson,Loyola Marymount,WCC,,19,12,0.613,,,,,2020-21,43,39,0.524,,,,,,43,39,0.524,,,,
Terrence Johnson,Texas State,Sun Belt,,16,19,0.457,,,,,2020-21,55,34,0.618,,,,,,55,34,0.618,,,,
Trent Johnson,Cal State Northridge,Big West,,7,25,0.219,,,,,2021-22,14,48,0.226,,,,,,290,313,0.481,5.0,2.0,,
Donnie Jones *,Stetson,A-Sun,,17,14,0.548,,,,,2019-20,56,65,0.463,,,,,,211,194,0.521,,,,
James Jones,Yale,Ivy,,21,9,0.7,,,,,1999-00,373,301,0.553,3.0,,,,,373,301,0.553,3.0,,,
Jeff Jones,Old Dominion,Sun Belt,,19,12,0.613,,,,,2013-14,200,125,0.615,1.0,,,,,557,412,0.575,8.0,2.0,,
Joe Jones,Boston University,Patriot,,15,17,0.469,,,,,2011-12,202,174,0.537,,,,,,288,282,0.505,,,,
Johnny Jones,Texas Southern,SWAC,,14,21,0.4,,,Lost First Four,,2018-19,90,73,0.552,3.0,,,,,385,307,0.556,6.0,,,
Mike Jones,UNC Greensboro,Southern,,20,12,0.625,,,,,2021-22,37,27,0.578,,,,,,211,177,0.544,1.0,,,
Robert Jones,Norfolk State,MEAC,,22,11,0.667,,,,,2013-14,188,137,0.578,2.0,,,,,188,137,0.578,2.0,,,
Mike Jordan,Lafayette,Patriot,,9,20,0.31,,,,,2022-23,9,20,0.31,,,,,,9,20,0.31,,,,
Edward Joyner Jr,Hampton,CAA,,8,24,0.25,,,,,2009-10,213,233,0.478,3.0,,,,,213,233,0.478,3.0,,,
Jon Judkins,Utah Tech,WAC,,14,19,0.424,,,,,2020-21,35,50,0.412,,,,,,35,50,0.412,,,,
Greg Kampe,Oakland,Horizon,,13,19,0.406,,,,,1999-00,413,361,0.534,3.0,,,,,413,361,0.534,3.0,,,
Kevin Keatts,NC State,ACC,,23,11,0.676,,,Lost First Round,,2017-18,113,79,0.589,2.0,,,,,185,107,0.634,4.0,,,
Kyle Keller *,Stephen F. Austin,WAC,,19,13,0.594,,,,,2016-17,145,69,0.678,1.0,,,,,145,69,0.678,1.0,,,
Pat Kelsey,College of Charleston,CAA,,31,4,0.886,,,Lost First Round,,2021-22,48,19,0.716,1.0,,,,,234,114,0.672,3.0,,,
Andy Kennedy,UAB,CUSA,,29,10,0.744,,,,,2020-21,78,25,0.757,1.0,,,,,344,194,0.639,3.0,,,
Brian Kennedy,NJIT,AEC,,7,23,0.233,,,,,2016-17,81,123,0.397,,,,,,81,123,0.397,,,,
Dustin Kerns,Appalachian State,Sun Belt,,16,16,0.5,,,,,2019-20,70,58,0.547,1.0,,,,,101,95,0.515,1.0,,,
David Kiefer,Southeastern Louisiana,Southland,,18,14,0.562,,,,,2019-20,53,70,0.431,,,,,,53,70,0.431,,,,
