Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
19,Baylor NCAA,38,30,8,.789,16.54,8.03,,12,6,,14,3,,8,3,,2839,2483,,67.1,97.1,.334,.328,.507,48.0,56.1,10.3,8.5,.473,17.9,34.6,.229
20,Belmont NCAA,35,27,8,.771,11.81,-1.22,,16,2,,13,1,,10,6,,2831,2363,,68.6,97.6,.350,.308,.511,50.3,53.2,9.3,12.2,.481,18.0,34.9,.230
21,Bethune-Cookman,35,18,17,.514,-9.11,-7.05,,11,5,,9,3,,5,12,,2276,2319,,64.9,101.8,.430,.290,.550,54.5,47.7,7.8,10.8,.513,20.8,40.9,.299
22,Binghamton,31,2,29,.065,-20.14,-6.24,,1,15,,1,13,,0,15,,1762,2193,,65.1,108.1,.377,.345,.565,56.0,50.6,11.4,6.7,.535,16.9,35.0,.263
23,Boise State,30,13,17,.433,3.52,3.14,,3,11,,11,5,,1,11,,2050,1988,,65.2,101.2,.392,.377,.555,50.1,55.0,7.9,9.3,.526,18.2,28.2,.264
24,Boston College,31,9,22,.290,-4.54,4.89,,4,12,,8,9,,0,10,,1833,2125,,64.7,104.6,.284,.340,.527,57.1,52.9,11.4,12.3,.495,15.3,35.7,.205
25,Boston University,32,16,16,.500,-3.74,-4.09,,12,4,,7,5,,8,9,,2045,2034,,64.4,98.3,.315,.354,.507,52.3,55.2,9.0,9.5,.473,17.2,35.1,.220
26,Bowling Green State,32,16,16,.500,1.23,0.07,,9,7,,12,4,,4,12,,2125,2046,,64.8,98.3,.361,.311,.527,51.3,58.1,10.4,6.5,.498,19.8,35.2,.240
27,Bradley,32,7,25,.219,-5.79,3.62,,2,16,,6,10,,1,12,,1955,2256,,67.3,104.7,.323,.335,.540,54.7,62.4,9.7,7.1,.514,16.5,33.6,.218
28,Brigham Young NCAA,35,26,9,.743,11.25,1.55,,12,4,,13,3,,8,3,,2727,2358,,73.0,92.3,.331,.362,.502,49.8,57.6,8.7,6.6,.471,19.1,29.2,.220
29,Brown,31,8,23,.258,-12.52,-3.62,,2,12,,6,9,,1,12,,1907,2154,,65.4,106.3,.276,.327,.544,55.6,55.1,8.7,9.1,.518,15.5,32.8,.194
30,Bryant,30,2,28,.067,-17.90,-4.27,,1,17,,1,10,,0,17,,1852,2261,,66.4,113.1,.335,.357,.568,56.5,60.7,11.2,7.6,.542,15.0,37.9,.233
31,Bucknell,35,25,10,.714,3.57,-3.08,,12,2,,14,3,,11,7,,2410,2147,,64.0,95.9,.352,.359,.500,47.1,52.5,8.8,6.6,.458,14.6,25.2,.251
32,Buffalo,31,20,11,.645,4.15,0.15,,12,4,,12,2,,8,8,,2262,2090,,68.7,97.8,.321,.354,.490,47.8,57.8,10.9,6.9,.452,14.4,32.2,.224
33,Butler,37,22,15,.595,2.86,1.14,,11,7,,13,6,,7,9,,2352,2245,,64.5,93.1,.442,.336,.506,49.5,52.1,9.0,8.1,.462,19.0,31.2,.299
34,Cal Poly,33,18,15,.545,-0.58,-3.78,,8,8,,10,4,,5,10,,2136,1998,,60.4,100.2,.433,.322,.532,48.1,54.3,7.3,11.0,.491,16.6,28.9,.301
35,Cal State Bakersfield,31,16,15,.516,-7.15,-3.65,,,,,10,3,,6,12,,2121,2154,,66.2,104.6,.489,.365,.572,52.1,59.2,10.4,7.1,.528,20.3,36.3,.355
36,Cal State Fullerton,31,21,10,.677,-1.18,-5.32,,12,4,,13,1,,7,7,,2417,2205,,70.3,101.2,.375,.325,.531,48.5,50.3,6.8,9.1,.497,17.1,33.3,.258
37,Cal State Northridge,28,7,21,.250,-12.65,-2.61,,3,13,,4,8,,3,13,,1908,2101,,69.0,108.2,.506,.393,.573,53.7,61.2,9.2,9.7,.534,18.8,40.0,.353
38,California NCAA,34,24,10,.706,13.79,4.53,,13,5,,17,1,,5,6,,2419,2104,,66.3,93.3,.267,.300,.493,48.6,49.1,7.5,5.8,.464,17.0,29.5,.183
39,Campbell,32,17,15,.531,-6.06,-4.80,,11,7,,11,2,,6,12,,2370,2361,,69.6,105.6,.425,.362,.532,51.1,58.3,9.9,7.3,.490,15.1,34.6,.299
40,Canisius,30,5,25,.167,-14.73,-4.53,,1,17,,3,10,,2,14,,1965,2271,,67.6,111.1,.350,.368,.552,54.2,65.8,10.6,9.7,.517,15.4,40.6,.252
41,Central Arkansas,29,8,21,.276,-17.26,-4.83,,3,13,,6,7,,2,14,,2058,2371,,74.2,108.3,.425,.277,.564,55.0,60.2,11.1,8.5,.542,18.0,40.3,.271
42,Central Connecticut State,29,13,16,.448,-5.36,-5.05,,10,8,,10,3,,3,12,,2029,2038,,68.9,100.6,.337,.318,.539,55.1,55.9,8.9,9.1,.510,20.7,41.4,.231
43,Central Florida,33,22,11,.667,4.33,2.98,,10,6,,16,1,,3,9,,2166,2096,,64.3,98.8,.316,.335,.502,50.5,56.5,8.8,8.9,.474,16.4,35.8,.208
44,Central Michigan,32,11,21,.344,-6.74,-1.62,,5,11,,6,6,,3,13,,1980,2134,,64.4,102.7,.457,.364,.537,54.8,60.3,8.4,8.8,.498,19.0,38.3,.313
45,Charleston Southern,31,19,12,.613,-2.19,-4.33,,11,7,,12,2,,5,10,,2383,2242,,70.9,101.6,.346,.342,.555,51.6,44.5,7.7,9.7,.528,19.9,33.9,.236
46,Charlotte,30,13,17,.433,0.99,2.86,,5,11,,7,7,,6,10,,2010,2066,,68.8,99.3,.342,.372,.525,52.9,56.6,9.6,11.3,.489,18.1,33.4,.241
47,Chattanooga,32,11,21,.344,-6.99,-3.54,,5,13,,11,6,,0,14,,2260,2204,,69.5,98.0,.293,.489,.510,50.3,60.2,10.5,10.1,.486,16.5,30.8,.191
48,Chicago State,30,4,26,.133,-19.30,-3.13,,2,8,,3,9,,1,17,,1884,2313,,71.4,107.5,.412,.387,.559,54.8,64.9,11.3,7.9,.521,17.1,36.5,.295
49,Cincinnati NCAA,37,26,11,.703,12.93,6.28,,12,6,,14,4,,7,5,,2522,2276,,64.1,94.7,.263,.311,.490,51.9,54.8,8.3,8.4,.462,18.2,37.6,.180
50,Clemson,31,16,15,.516,7.31,3.41,,8,8,,11,5,,4,7,,2001,1880,,63.3,95.1,.302,.312,.519,51.2,51.8,9.3,7.2,.487,19.9,32.8,.212
51,Cleveland State,33,22,11,.667,5.27,0.12,,12,6,,10,4,,11,5,,2177,1983,,64.3,93.5,.512,.318,.510,52.1,53.7,10.8,10.6,.465,21.8,38.0,.338
52,Coastal Carolina,31,19,12,.613,-2.64,-4.56,,12,6,,12,4,,7,7,,2248,2042,,66.8,97.8,.343,.343,.500,47.7,47.8,10.1,6.3,.463,15.7,32.3,.236
53,Colgate,30,8,22,.267,-14.91,-4.38,,2,12,,5,8,,3,14,,1893,2209,,65.7,111.2,.366,.345,.554,53.7,49.7,11.6,8.1,.520,13.1,32.6,.261
54,College of Charleston,31,19,12,.613,-0.16,-2.54,,10,8,,10,4,,7,6,,2191,2117,,68.4,98.3,.257,.327,.499,55.0,48.7,9.1,8.1,.472,17.4,38.9,.176
