Away,Home,W-L%,SRS,SOS,FG%,3PA,3P%,FT%,PPG,Big10,Big12,ACC,SEC,BigEast,BlueBlood,Championships,Conf_W-L%,Home_W-L%,Away_W-L%,3P-G,3PA-G,FG-G,FGA-G,FT-G,FTA-G,ORB-G,TRB-G,AST-G,STL-G,BLK-G,TOV-G,PF-G,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Coach W/L,Coach Team NCAA,Coach Team S16,Coach Team F4,Coach Team Champs,Coach C W/L,Coach C NCAA,Coach C S16,Coach C F4,Coach C Champs,OSRS,DSRS,DRtg,Score_Dif
Belmont,Georgetown,-0.04400000000000004,4.999999999999998,8.91,0.0260000000000001,-258,0.02899999999999999,-0.059,-4,0,0,0,0,1,0,1,-0.2222222222222222,0.008928571428571397,-0.07954545454545459,-2.2476190476190476,-7.45974025974026,0.30735930735930683,-1.9826839826839828,-2.071861471861472,-1.1558441558441557,0.2406926406926406,3.1004329004329008,-2.2787878787878793,-1.3437229437229439,4.03030303030303,1.9593073593073596,-0.08917748917748913,-5.299999999999997,-4.400000000000009,-0.006000000000000002,-0.119,-0.0019999999999999046,4.799999999999997,-9.199999999999996,-1.9999999999999982,12.299999999999997,0.008999999999999994,2.6000000000000014,3.499999999999993,-0.0249999999999999,0.08199999999999996,1.0,2.0,1.0,0.0,0.06000000000000005,3.0,2.0,1.0,0,-7.209999999999999,12.200000000000001,-12.030000000000001,15
Alabama,Creighton,0.19299999999999995,-0.8399999999999999,-3.7699999999999996,0.0,144,0.063,-0.015000000000000006,3,0,0,0,-1,1,0,0,0.2152777777777778,0.07499999999999996,0.36923076923076925,2.534199134199134,4.283982683982684,-1.336796536796537,-3.5904761904761906,3.0779220779220773,4.853679653679654,0.6935064935064934,2.896103896103896,2.6406926406926408,-3.329004329004329,-1.375757575757576,2.29004329004329,-3.774891774891775,4.399999999999999,3.700000000000003,0.108,0.1009999999999999,0.029999999999999895,4.400000000000006,11.899999999999997,-5.000000000000002,-5.5,0.028000000000000004,2.799999999999998,3.299999999999997,0.068,0.08499999999999996,0.0,0.0,0.0,0.0,-0.1170000000000001,1.0,0.0,0.0,0,13.02,-13.86,14.700000000000003,1
NC State,San Diego State,0.11599999999999999,-3.0600000000000005,-3.01,0.0049999999999999,38,-0.0199999999999999,0.016,2,0,0,-1,0,0,0,-2,0.1517857142857143,0.21052631578947367,0.08080808080808077,-0.061208267090619994,0.7527821939586645,0.12162162162162149,-0.3672496025437203,1.873608903020668,2.2957074721780604,0.04133545310015907,0.1462639109697934,-4.019872813990461,-0.17965023847376793,-1.28060413354531,-0.5079491255961843,-1.5492845786963436,-1.1000000000000085,3.0999999999999943,0.04300000000000011,0.014000000000000096,0.010999999999999996,0.20000000000000284,-16.20000000000001,-0.200000000000001,-3.6999999999999997,0.005999999999999901,-0.7000000000000028,0.3000000000000016,0.0360000000000001,-0.03200000000000003,4.0,0.0,0.0,0.0,0.0050000000000000044,4.0,3.0,3.0,1,-4.58,1.52,-1.6899999999999977,-14
Purdue,Saint Mary's (CA),0.18899999999999995,-2.620000000000001,-7.2700000000000005,0.0469999999999999,98,-0.048,0.1029999999999998,7,-1,0,0,0,0,0,0,0.3194444444444444,0.17647058823529405,0.2272727272727273,0.148051948051948,3.1861471861471857,0.8060606060606059,-3.9844155844155846,4.5021645021645025,3.644155844155844,1.30995670995671,9.795670995670996,3.0623376623376624,-1.27012987012987,0.8112554112554112,3.5255411255411255,-3.0233766233766235,0.20000000000000284,9.599999999999994,0.092,0.0850000000000001,0.0679999999999999,15.200000000000003,10.400000000000006,-1.9,0.6999999999999993,0.052000000000000005,4.4999999999999964,11.5,0.0989999999999999,-0.009000000000000008,-2.0,-1.0,0.0,0.0,-0.026999999999999913,-3.0,-1.0,0.0,0,-2.6099999999999994,-0.009999999999999787,1.4200000000000017,-3
Virginia,Florida,0.015000000000000013,5.74,3.0999999999999996,-0.016999999999999897,324,-0.0030000000000001,-0.0679999999999999,2,0,0,-1,1,0,0,1,0.0625,0.0625,-0.27272727272727276,3.3530405405405403,8.951013513513512,0.07347972972972983,1.433277027027027,-0.8623310810810811,0.24746621621621578,1.0819256756756757,-0.9375,-1.1722972972972978,0.7204391891891893,-0.0278716216216216,-0.02195945945945943,-1.80320945945946,3.999999999999993,3.1000000000000085,-0.008999999999999897,0.152,-9.71445146547012e-17,-1.3999999999999915,-7.1,1.1000000000000005,-1.9999999999999993,0.010000000000000009,-0.10000000000000009,0.3000000000000007,-0.0279999999999999,0.14600000000000002,11.0,6.0,3.0,2.0,0.08099999999999996,9.0,5.0,3.0,2,16.75,-11.01,8.560000000000002,26
Texas,Cincinnati,0.11499999999999999,-1.0700000000000003,-1.839999999999999,-0.009,93,0.037999999999999895,-0.09699999999999989,1,0,-1,0,0,0,0,2,0.16666666666666663,-0.05555555555555558,0.21969696969696978,1.4912559618441972,2.444356120826709,0.20349761526232157,1.6287758346581873,-1.1319554848966618,1.3179650238473768,-0.050874403815580393,-2.205087440381558,-0.7980922098569158,1.6486486486486487,1.0572337042925275,-2.108108108108108,1.5047694753577108,-2.6000000000000085,1.4000000000000075,0.0189999999999999,0.031999999999999904,-0.009000000000000001,-3.0,-4.100000000000001,2.5999999999999996,2.6,0.001999999999999901,-2.6999999999999975,-2.299999999999997,-0.0219999999999999,-0.1519999999999999,-12.0,-4.0,-1.0,0.0,-0.04800000000000004,-16.0,-5.0,-1.0,0,-3.45,2.380000000000001,-1.7199999999999989,6
Saint Louis,Memphis,-0.02200000000000002,1.709999999999999,1.2000000000000002,0.0699999999999999,-330,0.005999999999999998,0.019999999999999997,0,0,0,0,0,0,0,0,0.0625,-0.03749999999999998,0.09090909090909094,-3.1445378151260504,-9.62857142857143,1.5823529411764707,-5.578991596638655,0.5210084033613447,0.11344537815126055,-3.7168067226890757,0.22605042016806753,-0.9285714285714279,0.12184873949579789,2.820168067226891,2.0991596638655463,1.9823529411764707,3.8999999999999915,-0.29999999999999716,0.0409999999999999,-0.1519999999999998,0.0449999999999999,0.6000000000000085,-8.6,-8.881784197001252e-16,8.5,0.045,3.8000000000000007,-3.8000000000000007,0.0369999999999999,0.14200000000000002,1.0,0.0,0.0,0.0,0.016000000000000014,-11.0,-4.0,-1.0,0,8.66,-6.95,1.5499999999999972,-7
South Florida,Temple,0.139,1.2400000000000002,-2.3499999999999996,-0.017,108,0.038999999999999896,0.018000000000000002,3,0,0,0,0,0,0,0,0.14583333333333337,0.03409090909090917,0.3296703296703297,1.7465277777777777,3.145833333333333,0.30208333333333326,2.211805555555556,0.4548611111111111,0.1527777777777778,-0.9965277777777777,-2.767361111111111,2.7916666666666665,2.802083333333333,0.2222222222222222,-3.2881944444444446,1.3819444444444444,7.8999999999999915,3.3999999999999906,-0.011999999999999999,0.045,-0.001000000000000098,-4.200000000000003,10.5,4.4,0.1999999999999993,-0.0029999999999998986,-4.3000000000000025,-3.9000000000000057,-0.002999999999999999,0.22800000000000004,4.0,0.0,0.0,0.0,0.137,10.0,-1.0,0.0,0,14.17,-12.93,7.209999999999994,-14
Xavier,Notre Dame,0.008000000000000007,1.5899999999999999,0.25,-0.0309999999999999,363,-0.027999999999999903,0.043,1,0,0,1,0,-1,0,0,0.09722222222222221,0.12867647058823517,0.045454545454545525,2.892156862745098,10.295751633986928,-2.2663398692810457,-1.1830065359477127,3.044117647058824,2.9950980392156867,-0.5310457516339869,-2.1911764705882355,2.5408496732026142,0.17973856209150324,0.22058823529411759,-0.6241830065359477,-3.2794117647058822,-5.899999999999999,2.6000000000000076,0.061000000000000096,0.19299999999999978,0.010999999999999996,-3.4000000000000057,16.200000000000003,0.1999999999999993,-1.9999999999999982,-0.003999999999999997,-0.7999999999999989,-2.900000000000002,0.05900000000000011,-0.04599999999999993,5.0,-1.0,0.0,0.0,-0.04799999999999993,7.0,-1.0,0.0,0,-3.5300000000000002,5.119999999999999,0.5699999999999932,-4
Virginia Commonwealth,Indiana,-0.05600000000000005,9.84,7.17,0.08,-355,0.069,0.0669999999999998,2,1,0,0,0,0,1,5,-0.2222222222222222,0.018796992481203034,-0.3146853146853148,-2.3055555555555554,-9.86111111111111,0.75,-8.444444444444445,3.4722222222222223,2.666666666666667,-1.5,5.25,1.0277777777777772,-4.916666666666667,-0.41666666666666674,5.944444444444445,-2.305555555555556,1.7000000000000028,3.8000000000000114,0.1059999999999999,-0.1309999999999999,0.0779999999999999,8.0,2.299999999999997,-7.4,-0.5,0.06799999999999999,7.899999999999999,4.299999999999997,0.10400000000000001,-0.327,-1.0,0.0,-1.0,0.0,-0.16100000000000003,4.0,1.0,0.0,0,11.79,-1.9500000000000002,1.3100000000000023,2
